Q 	 ICP 	  ICN 	 ILH 	 ILV 	 IXMCDR  
2.77824e-05	 2.7642e-11	 2.8516e-11	 2.9818e-11	 2.9844e-11	 -8.74e-13	 -0.0155632
0.000625175	 2.4894e-13	 2.5812e-13	 2.6824e-13	 2.681e-13	 -9.18e-15	 -0.0181044
0.00125036	 6.2058e-13	 6.552e-13	 6.9663e-13	 6.9692e-13	 -3.462e-14	 -0.0271363
0.00187553	 1.2382e-12	 1.2784e-12	 1.3675e-12	 1.3726e-12	 -4.02e-14	 -0.0159739
0.0025007	 1.8887e-12	 2.009e-12	 2.104e-12	 2.0873e-12	 -1.203e-13	 -0.0308644
0.00312587	 2.6079e-12	 2.72e-12	 2.8863e-12	 2.8551e-12	 -1.121e-13	 -0.0210402
0.00375102	 3.1934e-12	 3.342e-12	 3.6319e-12	 3.5954e-12	 -1.486e-13	 -0.0227377
0.00437616	 4.0138e-12	 4.193e-12	 4.3952e-12	 4.3658e-12	 -1.792e-13	 -0.0218356
0.00500129	 4.5742e-12	 4.7818e-12	 4.9446e-12	 4.9154e-12	 -2.076e-13	 -0.022189
0.0056264	 5.1311e-12	 5.3806e-12	 5.6686e-12	 5.6085e-12	 -2.495e-13	 -0.0237355
0.00625149	 5.6725e-12	 5.9394e-12	 6.2711e-12	 6.1981e-12	 -2.669e-13	 -0.022985
0.00687657	 6.1419e-12	 6.2802e-12	 6.8123e-12	 6.7332e-12	 -1.383e-13	 -0.0111334
0.00750162	 6.1903e-12	 7.0471e-12	 7.4176e-12	 7.3243e-12	 -8.568e-13	 -0.0647257
0.00812666	 7.0895e-12	 7.425e-12	 7.8337e-12	 7.7311e-12	 -3.355e-13	 -0.0231148
0.00875166	 7.4862e-12	 7.8746e-12	 8.3128e-12	 8.1965e-12	 -3.884e-13	 -0.0252851
0.00937664	 7.9212e-12	 8.3109e-12	 8.7527e-12	 8.6362e-12	 -3.897e-13	 -0.024008
0.0100016	 8.3053e-12	 8.7134e-12	 9.1483e-12	 9.0375e-12	 -4.081e-13	 -0.0239795
0.0106265	 8.7717e-12	 9.1699e-12	 8.9993e-12	 8.8714e-12	 -3.982e-13	 -0.0221942
0.0112514	 8.8848e-12	 9.2934e-12	 9.7152e-12	 9.5872e-12	 -4.086e-13	 -0.0224775
0.0118763	 9.0218e-12	 9.4495e-12	 9.8734e-12	 9.7037e-12	 -4.277e-13	 -0.0231548
0.0125011	 9.1732e-12	 9.6358e-12	 1.0034e-11	 9.8622e-12	 -4.626e-13	 -0.0245946
0.0131259	 9.3605e-12	 9.8345e-12	 1.022e-11	 1.0031e-11	 -4.74e-13	 -0.0246939
0.0137506	 9.7158e-12	 1.0229e-11	 1.0568e-11	 1.0371e-11	 -5.132e-13	 -0.025731
0.0143753	 9.68e-12	 1.0238e-11	 1.0547e-11	 1.0338e-11	 -5.58e-13	 -0.0280149
0.015	 9.6421e-12	 1.0235e-11	 1.0533e-11	 1.0388e-11	 -5.929e-13	 -0.0298283
0.0156246	 9.6804e-12	 1.0234e-11	 1.0509e-11	 1.0389e-11	 -5.536e-13	 -0.027799
0.0162491	 9.6398e-12	 1.0167e-11	 1.0468e-11	 1.036e-11	 -5.272e-13	 -0.0266171
0.0168736	 9.8228e-12	 1.033e-11	 1.0596e-11	 1.0438e-11	 -5.072e-13	 -0.0251677
0.0174981	 9.5894e-12	 1.009e-11	 1.0366e-11	 1.0183e-11	 -5.006e-13	 -0.0254378
0.0181225	 9.4524e-12	 9.9753e-12	 1.0235e-11	 1.0028e-11	 -5.229e-13	 -0.0269152
0.0187469	 9.3625e-12	 9.8902e-12	 1.0127e-11	 9.9435e-12	 -5.277e-13	 -0.0274091
0.0193712	 9.9229e-12	 1.0351e-11	 1.053e-11	 1.0384e-11	 -4.281e-13	 -0.0211158
0.0199954	 1.0067e-11	 1.0488e-11	 1.0703e-11	 1.0554e-11	 -4.21e-13	 -0.0204816
0.0206196	 9.8703e-12	 1.0237e-11	 1.0395e-11	 1.0272e-11	 -3.667e-13	 -0.0182372
0.0212437	 9.6207e-12	 9.9362e-12	 1.0101e-11	 1.0027e-11	 -3.155e-13	 -0.0161324
0.0218677	 9.2658e-12	 9.5587e-12	 9.7547e-12	 9.6264e-12	 -2.929e-13	 -0.0155595
0.0224917	 8.9833e-12	 9.2683e-12	 9.4264e-12	 9.3338e-12	 -2.85e-13	 -0.0156151
0.0231156	 8.9921e-12	 9.1967e-12	 9.2771e-12	 9.1843e-12	 -2.046e-13	 -0.0112487
0.0237395	 8.5985e-12	 8.7783e-12	 8.8574e-12	 8.736e-12	 -1.798e-13	 -0.0103471
0.0243632	 8.2657e-12	 8.5111e-12	 8.5405e-12	 8.3945e-12	 -2.454e-13	 -0.0146273
0.0249869	 8.0297e-12	 8.2327e-12	 8.2569e-12	 8.1213e-12	 -2.03e-13	 -0.0124828
0.0256106	 7.812e-12	 8.0055e-12	 8.0134e-12	 7.8823e-12	 -1.935e-13	 -0.0122333
0.0262341	 7.6573e-12	 7.863e-12	 7.845e-12	 7.7432e-12	 -2.057e-13	 -0.0132536
0.0268576	 7.1597e-12	 7.4633e-12	 7.4641e-12	 7.3638e-12	 -3.036e-13	 -0.0207618
0.0274809	 7.0409e-12	 7.1684e-12	 7.1682e-12	 7.0688e-12	 -1.275e-13	 -0.008973
0.0281042	 6.7642e-12	 6.8757e-12	 6.8722e-12	 6.777e-12	 -1.115e-13	 -0.00817455
0.0287274	 6.5168e-12	 6.6099e-12	 6.5795e-12	 6.5182e-12	 -9.31e-14	 -0.00709241
0.0293506	 6.343e-12	 6.4164e-12	 6.3868e-12	 6.3299e-12	 -7.34e-14	 -0.00575262
0.0299736	 5.9962e-12	 6.0557e-12	 6.0402e-12	 5.9857e-12	 -5.95e-14	 -0.00493698
