Energy CP 	 ICP 	 Energy CN 	 ICN 	 FCP 	 FCN 	 IXMCD 	 FXMCD 	 IXMCDR 	 FXMCDR 
690.110218	 0.041472	 690.291973	 0.041469	 0.000000	 0.000000	 0.000004	 0.000000	 0.000044	 nan
690.368438	 0.041385	 690.510422	 0.041384	 0.000000	 0.000000	 0.000001	 0.000000	 0.000008	 nan
690.546300	 0.041305	 690.673328	 0.041270	 0.000000	 0.000000	 0.000035	 0.000000	 0.000421	 nan
690.715576	 0.041219	 690.844061	 0.041167	 0.000000	 0.000000	 0.000052	 0.000000	 0.000634	 nan
690.894598	 0.041094	 691.017721	 0.041036	 0.000000	 0.000000	 0.000057	 0.000000	 0.000697	 nan
691.078468	 0.040992	 691.200260	 0.040946	 0.000000	 0.000000	 0.000046	 0.000000	 0.000558	 nan
691.254314	 0.040901	 691.388070	 0.040760	 0.000000	 0.000000	 0.000141	 0.000000	 0.001728	 nan
691.429834	 0.040765	 691.578830	 0.040652	 0.000000	 0.000000	 0.000113	 0.000000	 0.001392	 nan
691.602490	 0.040612	 691.760989	 0.040472	 0.000000	 0.000000	 0.000140	 0.000000	 0.001728	 nan
691.781345	 0.040459	 691.948064	 0.040361	 0.000000	 0.000000	 0.000099	 0.000000	 0.001223	 nan
691.970867	 0.040333	 692.149658	 0.040149	 0.000000	 0.000000	 0.000184	 0.000000	 0.002288	 nan
692.169724	 0.040165	 692.357024	 0.039960	 0.000000	 0.000000	 0.000206	 0.000000	 0.002568	 nan
692.368798	 0.039979	 692.556257	 0.039733	 0.000000	 0.000000	 0.000246	 0.000000	 0.003088	 nan
692.556250	 0.039800	 692.740434	 0.039588	 0.000000	 0.000000	 0.000211	 0.000000	 0.002664	 nan
692.743855	 0.039603	 692.927046	 0.039372	 0.000000	 0.000000	 0.000230	 0.000000	 0.002918	 nan
692.941645	 0.039442	 693.126188	 0.039117	 0.000000	 0.000000	 0.000325	 0.000000	 0.004138	 nan
693.138766	 0.039155	 693.325756	 0.038856	 0.000000	 0.000000	 0.000299	 0.000000	 0.003834	 nan
693.341983	 0.038967	 693.519397	 0.038634	 0.000000	 0.000000	 0.000333	 0.000000	 0.004289	 nan
693.523969	 0.038725	 693.706998	 0.038378	 0.000000	 0.000000	 0.000346	 0.000000	 0.004491	 nan
693.724753	 0.038509	 693.888236	 0.038125	 0.000000	 0.000000	 0.000383	 0.000000	 0.005002	 nan
693.916320	 0.038258	 694.084379	 0.037782	 0.000000	 0.000000	 0.000477	 0.000000	 0.006267	 nan
694.117851	 0.037959	 694.291173	 0.037489	 0.000000	 0.000000	 0.000469	 0.000000	 0.006222	 nan
694.299510	 0.037663	 694.488116	 0.037213	 0.000000	 0.000000	 0.000450	 0.000000	 0.006016	 nan
694.494055	 0.037402	 694.672057	 0.036897	 0.000000	 0.000000	 0.000504	 0.000000	 0.006788	 nan
694.701873	 0.037067	 694.848515	 0.036569	 0.000000	 0.000000	 0.000497	 0.000000	 0.006756	 nan
694.891153	 0.036737	 695.029246	 0.036228	 0.000000	 0.000000	 0.000509	 0.000000	 0.006976	 nan
695.082993	 0.036417	 695.201856	 0.035905	 0.000000	 0.000000	 0.000512	 0.000000	 0.007079	 nan
