Q 	 ICP 	  ICN 	 ILH 	 ILV 	 IXMCDR  
2.77824e-05	 4.6373e-11	 4.5692e-11	 4.6383e-11	 4.6221e-11	 6.81e-13	 0.00739695
0.000625175	 4.4808e-13	 4.1033e-13	 4.6528e-13	 4.7144e-13	 3.775e-14	 0.0439767
0.00125036	 1.0207e-12	 9.6626e-13	 1.0855e-12	 1.0728e-12	 5.444e-14	 0.0273986
0.00187553	 1.8718e-12	 1.8146e-12	 1.9639e-12	 1.9478e-12	 5.72e-14	 0.0155165
0.0025007	 2.7705e-12	 2.6972e-12	 2.8913e-12	 2.8722e-12	 7.33e-14	 0.013406
0.00312587	 3.6793e-12	 3.5922e-12	 3.8326e-12	 3.8111e-12	 8.71e-14	 0.0119783
0.00375102	 4.594e-12	 4.4918e-12	 4.7665e-12	 4.744e-12	 1.022e-13	 0.0112483
0.00437616	 5.4823e-12	 5.3731e-12	 5.6719e-12	 5.6473e-12	 1.092e-13	 0.0100595
0.00500129	 6.355e-12	 6.2339e-12	 6.5473e-12	 6.5211e-12	 1.211e-13	 0.00961959
0.0056264	 7.1556e-12	 7.0305e-12	 7.3772e-12	 7.3444e-12	 1.251e-13	 0.00881849
0.00625149	 7.9327e-12	 7.7978e-12	 8.1953e-12	 8.1657e-12	 1.349e-13	 0.0085757
0.00687657	 8.7108e-12	 8.5634e-12	 8.9803e-12	 8.9463e-12	 1.474e-13	 0.00853296
0.00750162	 9.4858e-12	 9.3383e-12	 9.775e-12	 9.733e-12	 1.475e-13	 0.0078357
0.00812666	 1.0254e-11	 1.0102e-11	 1.0547e-11	 1.0506e-11	 1.52e-13	 0.00746709
0.00875166	 1.0972e-11	 1.0816e-11	 1.128e-11	 1.1228e-11	 1.56e-13	 0.0071599
0.00937664	 1.1559e-11	 1.1394e-11	 1.1929e-11	 1.1879e-11	 1.65e-13	 0.0071886
0.0100016	 1.2098e-11	 1.1915e-11	 1.2499e-11	 1.2442e-11	 1.83e-13	 0.00762087
0.0106265	 1.2597e-11	 1.2399e-11	 1.3012e-11	 1.2952e-11	 1.98e-13	 0.00792127
0.0112514	 1.3094e-11	 1.289e-11	 1.3512e-11	 1.3455e-11	 2.04e-13	 0.00785099
0.0118763	 1.3587e-11	 1.3383e-11	 1.3998e-11	 1.3935e-11	 2.04e-13	 0.00756396
0.0125011	 1.4049e-11	 1.385e-11	 1.4456e-11	 1.4393e-11	 1.99e-13	 0.00713287
0.0131259	 1.4453e-11	 1.4253e-11	 1.4854e-11	 1.4799e-11	 2e-13	 0.00696718
0.0137506	 1.4777e-11	 1.4567e-11	 1.5172e-11	 1.5106e-11	 2.1e-13	 0.00715649
0.0143753	 1.5021e-11	 1.4802e-11	 1.5407e-11	 1.5346e-11	 2.19e-13	 0.00734333
0.015	 1.5188e-11	 1.4969e-11	 1.5568e-11	 1.5439e-11	 2.19e-13	 0.007262
0.0156246	 1.5316e-11	 1.5102e-11	 1.5678e-11	 1.554e-11	 2.14e-13	 0.00703531
0.0162491	 1.5426e-11	 1.5218e-11	 1.5759e-11	 1.5623e-11	 2.08e-13	 0.00678763
0.0168736	 1.5506e-11	 1.531e-11	 1.5797e-11	 1.5676e-11	 1.96e-13	 0.00636033
0.0174981	 1.5549e-11	 1.5356e-11	 1.5806e-11	 1.5685e-11	 1.93e-13	 0.00624494
0.0181225	 1.5505e-11	 1.5312e-11	 1.5736e-11	 1.5625e-11	 1.93e-13	 0.00626278
0.0187469	 1.5416e-11	 1.5223e-11	 1.5593e-11	 1.5499e-11	 1.93e-13	 0.00629916
0.0193712	 1.5258e-11	 1.5067e-11	 1.5407e-11	 1.5326e-11	 1.91e-13	 0.00629843
0.0199954	 1.5092e-11	 1.4907e-11	 1.5207e-11	 1.5129e-11	 1.85e-13	 0.00616687
0.0206196	 1.491e-11	 1.4724e-11	 1.5006e-11	 1.4932e-11	 1.86e-13	 0.00627657
0.0212437	 1.4705e-11	 1.4525e-11	 1.4785e-11	 1.4721e-11	 1.8e-13	 0.00615806
0.0218677	 1.4459e-11	 1.4288e-11	 1.453e-11	 1.4456e-11	 1.71e-13	 0.00594845
0.0224917	 1.4175e-11	 1.4005e-11	 1.4246e-11	 1.4181e-11	 1.7e-13	 0.00603265
0.0231156	 1.3847e-11	 1.3678e-11	 1.3918e-11	 1.3853e-11	 1.69e-13	 0.00613987
0.0237395	 1.349e-11	 1.3317e-11	 1.3569e-11	 1.3505e-11	 1.73e-13	 0.00645354
0.0243632	 1.3089e-11	 1.293e-11	 1.3174e-11	 1.3099e-11	 1.59e-13	 0.00611092
0.0249869	 1.266e-11	 1.25e-11	 1.2743e-11	 1.2674e-11	 1.6e-13	 0.0063593
0.0256106	 1.2189e-11	 1.205e-11	 1.2277e-11	 1.2211e-11	 1.39e-13	 0.00573456
0.0262341	 1.1695e-11	 1.1564e-11	 1.178e-11	 1.1717e-11	 1.31e-13	 0.00563223
0.0268576	 1.1193e-11	 1.106e-11	 1.1285e-11	 1.121e-11	 1.33e-13	 0.00597672
0.0274809	 1.066e-11	 1.0541e-11	 1.0756e-11	 1.0678e-11	 1.19e-13	 0.00561294
0.0281042	 1.0102e-11	 9.9856e-12	 1.0201e-11	 1.013e-11	 1.164e-13	 0.00579462
0.0287274	 9.5269e-12	 9.4258e-12	 9.6264e-12	 9.5551e-12	 1.011e-13	 0.00533433
0.0293506	 8.9406e-12	 8.8451e-12	 9.031e-12	 8.9524e-12	 9.55e-14	 0.00536948
0.0299736	 8.3466e-12	 8.2696e-12	 8.4427e-12	 8.3645e-12	 7.7e-14	 0.00463403
0.0305965	 7.7541e-12	 7.6946e-12	 7.8535e-12	 7.7772e-12	 5.95e-14	 0.00385146
0.0312194	 7.1749e-12	 7.1196e-12	 7.2698e-12	 7.1918e-12	 5.53e-14	 0.00386862
0.0318421	 6.5932e-12	 6.5533e-12	 6.6945e-12	 6.6185e-12	 3.99e-14	 0.00303503
0.0324648	 6.0226e-12	 6.0027e-12	 6.1277e-12	 6.0463e-12	 1.99e-14	 0.00165484
0.0330874	 5.4788e-12	 5.4639e-12	 5.5826e-12	 5.5053e-12	 1.49e-14	 0.00136164
0.0337098	 4.9476e-12	 4.945e-12	 5.054e-12	 4.976e-12	 2.6e-15	 0.000262823
0.0343322	 4.445e-12	 4.4513e-12	 4.5478e-12	 4.4685e-12	 -6.3e-15	 -0.00070816
0.0349544	 3.9728e-12	 3.9899e-12	 4.0754e-12	 3.9991e-12	 -1.71e-14	 -0.00214751
0.0355766	 3.5357e-12	 3.564e-12	 3.6328e-12	 3.5737e-12	 -2.83e-14	 -0.00398608
0.0361986	 3.1289e-12	 3.1593e-12	 3.2293e-12	 3.172e-12	 -3.04e-14	 -0.00483445
0.0368205	 2.7741e-12	 2.7886e-12	 2.8596e-12	 2.8051e-12	 -1.45e-14	 -0.00260665
0.0374423	 2.4491e-12	 2.4687e-12	 2.5266e-12	 2.4728e-12	 -1.96e-14	 -0.00398552
0.038064	 2.16e-12	 2.1746e-12	 2.2295e-12	 2.1799e-12	 -1.46e-14	 -0.00336825
0.0386856	 1.9086e-12	 1.9218e-12	 1.97e-12	 1.9236e-12	 -1.32e-14	 -0.00344612
0.0393071	 1.699e-12	 1.6948e-12	 1.7505e-12	 1.7067e-12	 4.2e-15	 0.00123755
0.0399284	 1.5247e-12	 1.5055e-12	 1.5616e-12	 1.524e-12	 1.92e-14	 0.00633622
0.0405497	 1.3837e-12	 1.3478e-12	 1.4086e-12	 1.3715e-12	 3.59e-14	 0.013143
0.0411708	 1.2732e-12	 1.2191e-12	 1.2863e-12	 1.2514e-12	 5.41e-14	 0.0217069
0.0417917	 1.1892e-12	 1.1189e-12	 1.1913e-12	 1.1574e-12	 7.03e-14	 0.030458
0.0424126	 1.1289e-12	 1.0367e-12	 1.1192e-12	 1.0853e-12	 9.22e-14	 0.0425748
0.0430333	 1.0847e-12	 9.7304e-13	 1.0641e-12	 1.0301e-12	 1.1166e-13	 0.0542634
0.0436539	 1.0548e-12	 9.2553e-13	 1.0246e-12	 9.8927e-13	 1.2927e-13	 0.065277
0.0442743	 1.035e-12	 8.9e-13	 9.9624e-13	 9.5948e-13	 1.45e-13	 0.0753247
0.0448947	 1.0205e-12	 8.6518e-13	 9.7462e-13	 9.3685e-13	 1.5532e-13	 0.0823682
0.0455148	 1.0092e-12	 8.4387e-13	 9.5838e-13	 9.1843e-13	 1.6533e-13	 0.0892195
0.0461349	 9.9731e-13	 8.2787e-13	 9.439e-13	 9.0132e-13	 1.6944e-13	 0.0928347
0.0467548	 9.8256e-13	 8.1327e-13	 9.2798e-13	 8.8422e-13	 1.6929e-13	 0.0942684
0.0473746	 9.625e-13	 7.991e-13	 9.101e-13	 8.638e-13	 1.634e-13	 0.0927566
0.0479942	 9.3671e-13	 7.8377e-13	 8.8792e-13	 8.3992e-13	 1.5294e-13	 0.0888938
0.0486136	 9.0401e-13	 7.638e-13	 8.6083e-13	 8.1185e-13	 1.4021e-13	 0.0840683
