Energy LH 	 ILH 	 Energy LV 	 ILV 	 FLH 	 FLV 	 IXMCD 	 FXMCD 	 IXMCDR 	 FXMCDR 
629.931222	 0.373073	 630.365757	 0.282006	 0.000000	 0.000000	 0.091067	 0.000000	 0.139017	 nan
630.182540	 0.366517	 630.613786	 0.276485	 0.000000	 0.000000	 0.090032	 0.000000	 0.140018	 nan
630.383656	 0.359271	 630.802864	 0.270956	 0.000000	 0.000000	 0.088315	 0.000000	 0.140131	 nan
630.584853	 0.352303	 630.991781	 0.265688	 0.000000	 0.000000	 0.086614	 0.000000	 0.140155	 nan
630.777593	 0.345751	 631.183721	 0.260302	 0.000000	 0.000000	 0.085449	 0.000000	 0.140993	 nan
630.959225	 0.339183	 631.366402	 0.255277	 0.000000	 0.000000	 0.083905	 0.000000	 0.141145	 nan
631.154192	 0.332122	 631.545365	 0.250294	 0.000000	 0.000000	 0.081829	 0.000000	 0.140499	 nan
631.341179	 0.325182	 631.722833	 0.244691	 0.000000	 0.000000	 0.080492	 0.000000	 0.141245	 nan
631.519490	 0.318706	 631.917947	 0.238375	 0.000000	 0.000000	 0.080331	 0.000000	 0.144200	 nan
631.687243	 0.312086	 632.119977	 0.232487	 0.000000	 0.000000	 0.079599	 0.000000	 0.146167	 nan
631.885162	 0.304990	 632.314467	 0.226689	 0.000000	 0.000000	 0.078301	 0.000000	 0.147271	 nan
632.068793	 0.296908	 632.497431	 0.220974	 0.000000	 0.000000	 0.075934	 0.000000	 0.146625	 nan
632.281505	 0.289238	 632.687719	 0.214418	 0.000000	 0.000000	 0.074820	 0.000000	 0.148554	 nan
632.465683	 0.282106	 632.886853	 0.207571	 0.000000	 0.000000	 0.074535	 0.000000	 0.152214	 nan
632.657049	 0.274318	 633.087025	 0.201180	 0.000000	 0.000000	 0.073138	 0.000000	 0.153813	 nan
632.853330	 0.265749	 633.286315	 0.194850	 0.000000	 0.000000	 0.070899	 0.000000	 0.153929	 nan
633.052201	 0.257511	 633.469287	 0.188495	 0.000000	 0.000000	 0.069017	 0.000000	 0.154744	 nan
633.249364	 0.249340	 633.673123	 0.181387	 0.000000	 0.000000	 0.067953	 0.000000	 0.157764	 nan
633.441612	 0.241366	 633.873146	 0.174845	 0.000000	 0.000000	 0.066521	 0.000000	 0.159824	 nan
633.636862	 0.232678	 634.081783	 0.168351	 0.000000	 0.000000	 0.064327	 0.000000	 0.160404	 nan
633.839338	 0.223984	 634.272096	 0.162140	 0.000000	 0.000000	 0.061843	 0.000000	 0.160164	 nan
634.043136	 0.215605	 634.462109	 0.155248	 0.000000	 0.000000	 0.060357	 0.000000	 0.162751	 nan
634.244033	 0.207688	 634.673888	 0.148517	 0.000000	 0.000000	 0.059170	 0.000000	 0.166113	 nan
634.436970	 0.199563	 634.883139	 0.141835	 0.000000	 0.000000	 0.057728	 0.000000	 0.169094	 nan
634.636872	 0.190727	 635.088198	 0.135633	 0.000000	 0.000000	 0.055094	 0.000000	 0.168813	 nan
634.848445	 0.182022	 635.275655	 0.129239	 0.000000	 0.000000	 0.052784	 0.000000	 0.169580	 nan
635.035808	 0.173946	 635.469905	 0.123032	 0.000000	 0.000000	 0.050913	 0.000000	 0.171439	 nan
635.228716	 0.166255	 635.671004	 0.117300	 0.000000	 0.000000	 0.048955	 0.000000	 0.172648	 nan
635.437223	 0.158375	 635.868492	 0.112252	 0.000000	 0.000000	 0.046123	 0.000000	 0.170431	 nan
635.621380	 0.150689	 636.050495	 0.108036	 0.000000	 0.000000	 0.042653	 0.000000	 0.164860	 nan
635.822621	 0.143949	 636.233202	 0.105124	 0.000000	 0.000000	 0.038825	 0.000000	 0.155878	 nan
636.005014	 0.138562	 636.419063	 0.104484	 0.000000	 0.000000	 0.034078	 0.000000	 0.140212	 nan
636.187926	 0.134602	 636.617103	 0.108111	 0.000000	 0.000000	 0.026491	 0.000000	 0.109147	 nan
636.392156	 0.132967	 636.820449	 0.120567	 0.000000	 0.000000	 0.012399	 0.000000	 0.048907	 nan
636.562848	 0.136010	 637.013642	 0.149390	 0.000000	 0.000000	 -0.013380	 0.000000	 -0.046881	 nan
636.767688	 0.149136	 637.212420	 0.198324	 0.000000	 0.000000	 -0.049188	 0.000000	 -0.141565	 nan
636.970064	 0.180684	 637.420454	 0.253863	 0.000000	 0.000000	 -0.073179	 0.000000	 -0.168404	 nan
637.164367	 0.238794	 637.622591	 0.304068	 0.000000	 0.000000	 -0.065274	 0.000000	 -0.120240	 nan
637.385306	 0.310932	 637.815616	 0.344945	 0.000000	 0.000000	 -0.034013	 0.000000	 -0.051858	 nan
637.571648	 0.377956	 637.997608	 0.369523	 0.000000	 0.000000	 0.008432	 0.000000	 0.011281	 nan
637.761997	 0.434386	 638.189371	 0.370738	 0.000000	 0.000000	 0.063648	 0.000000	 0.079054	 nan
637.948836	 0.471155	 638.384084	 0.352243	 0.000000	 0.000000	 0.118912	 0.000000	 0.144416	 nan
638.146519	 0.477986	 638.583848	 0.321343	 0.000000	 0.000000	 0.156644	 0.000000	 0.195969	 nan
638.354925	 0.456176	 638.775446	 0.286474	 0.000000	 0.000000	 0.169702	 0.000000	 0.228509	 nan
638.530382	 0.419253	 638.964830	 0.249372	 0.000000	 0.000000	 0.169881	 0.000000	 0.254075	 nan
638.722276	 0.375462	 639.166118	 0.212737	 0.000000	 0.000000	 0.162725	 0.000000	 0.276650	 nan
638.915261	 0.327996	 639.367019	 0.179803	 0.000000	 0.000000	 0.148193	 0.000000	 0.291834	 nan
639.115541	 0.278990	 639.563845	 0.152872	 0.000000	 0.000000	 0.126118	 0.000000	 0.292033	 nan
639.337540	 0.235197	 639.751869	 0.130935	 0.000000	 0.000000	 0.104262	 0.000000	 0.284766	 nan
639.530707	 0.199542	 639.945610	 0.114111	 0.000000	 0.000000	 0.085432	 0.000000	 0.272376	 nan
639.717639	 0.171178	 640.139561	 0.102075	 0.000000	 0.000000	 0.069103	 0.000000	 0.252889	 nan
639.907248	 0.148616	 640.332459	 0.093297	 0.000000	 0.000000	 0.055320	 0.000000	 0.228676	 nan
640.105665	 0.132389	 640.520556	 0.087052	 0.000000	 0.000000	 0.045337	 0.000000	 0.206603	 nan
640.308742	 0.120651	 640.697989	 0.082247	 0.000000	 0.000000	 0.038405	 0.000000	 0.189280	 nan
640.482174	 0.112318	 640.894172	 0.078257	 0.000000	 0.000000	 0.034061	 0.000000	 0.178728	 nan
640.662115	 0.105903	 641.100229	 0.075260	 0.000000	 0.000000	 0.030642	 0.000000	 0.169143	 nan
640.852888	 0.100625	 641.305479	 0.073282	 0.000000	 0.000000	 0.027343	 0.000000	 0.157227	 nan
641.056059	 0.096567	 641.493203	 0.071938	 0.000000	 0.000000	 0.024629	 0.000000	 0.146162	 nan
641.276156	 0.093638	 641.683384	 0.070783	 0.000000	 0.000000	 0.022855	 0.000000	 0.139006	 nan
641.457337	 0.091581	 641.875746	 0.070001	 0.000000	 0.000000	 0.021580	 0.000000	 0.133556	 nan
641.641767	 0.089943	 642.065917	 0.069576	 0.000000	 0.000000	 0.020367	 0.000000	 0.127679	 nan
641.836360	 0.088757	 642.248198	 0.069288	 0.000000	 0.000000	 0.019469	 0.000000	 0.123190	 nan
642.027026	 0.088061	 642.432795	 0.069264	 0.000000	 0.000000	 0.018797	 0.000000	 0.119481	 nan
642.225333	 0.087594	 642.628805	 0.069296	 0.000000	 0.000000	 0.018299	 0.000000	 0.116633	 nan
642.393766	 0.087324	 642.830781	 0.069296	 0.000000	 0.000000	 0.018028	 0.000000	 0.115109	 nan
642.583393	 0.087175	 643.033920	 0.069435	 0.000000	 0.000000	 0.017740	 0.000000	 0.113278	 nan
642.786520	 0.087248	 643.236383	 0.069370	 0.000000	 0.000000	 0.017878	 0.000000	 0.114150	 nan
642.987320	 0.087370	 643.441004	 0.069166	 0.000000	 0.000000	 0.018204	 0.000000	 0.116294	 nan
643.208306	 0.087327	 643.656059	 0.068596	 0.000000	 0.000000	 0.018731	 0.000000	 0.120128	 nan
643.395905	 0.087101	 643.879155	 0.067996	 0.000000	 0.000000	 0.019105	 0.000000	 0.123179	 nan
643.612821	 0.086543	 644.100983	 0.067236	 0.000000	 0.000000	 0.019306	 0.000000	 0.125546	 nan
643.830780	 0.085743	 644.305865	 0.066404	 0.000000	 0.000000	 0.019339	 0.000000	 0.127109	 nan
644.053996	 0.084708	 644.521965	 0.065246	 0.000000	 0.000000	 0.019462	 0.000000	 0.129784	 nan
644.281581	 0.083648	 644.726637	 0.064208	 0.000000	 0.000000	 0.019440	 0.000000	 0.131481	 nan
644.468473	 0.082363	 644.930488	 0.063072	 0.000000	 0.000000	 0.019291	 0.000000	 0.132643	 nan
644.685868	 0.081028	 645.134372	 0.061965	 0.000000	 0.000000	 0.019063	 0.000000	 0.133315	 nan
644.892683	 0.079420	 645.322324	 0.060540	 0.000000	 0.000000	 0.018880	 0.000000	 0.134897	 nan
645.094360	 0.077884	 645.532967	 0.059123	 0.000000	 0.000000	 0.018761	 0.000000	 0.136934	 nan
645.298110	 0.076456	 645.746076	 0.057789	 0.000000	 0.000000	 0.018667	 0.000000	 0.139053	 nan
645.488486	 0.074790	 645.949376	 0.056439	 0.000000	 0.000000	 0.018351	 0.000000	 0.139842	 nan
645.704849	 0.072906	 646.149849	 0.054928	 0.000000	 0.000000	 0.017978	 0.000000	 0.140634	 nan
645.910265	 0.071148	 646.346346	 0.053400	 0.000000	 0.000000	 0.017747	 0.000000	 0.142494	 nan
646.108095	 0.069477	 646.551975	 0.051967	 0.000000	 0.000000	 0.017510	 0.000000	 0.144181	 nan
646.321628	 0.067653	 646.749764	 0.050619	 0.000000	 0.000000	 0.017033	 0.000000	 0.144018	 nan
646.513365	 0.065747	 646.934780	 0.049402	 0.000000	 0.000000	 0.016345	 0.000000	 0.141948	 nan
646.733892	 0.063920	 647.111398	 0.048193	 0.000000	 0.000000	 0.015728	 0.000000	 0.140282	 nan
646.905245	 0.062427	 647.299679	 0.047172	 0.000000	 0.000000	 0.015256	 0.000000	 0.139193	 nan
647.074348	 0.061018	 647.495911	 0.046383	 0.000000	 0.000000	 0.014635	 0.000000	 0.136264	 nan
647.275321	 0.059654	 647.695660	 0.046058	 0.000000	 0.000000	 0.013595	 0.000000	 0.128608	 nan
647.456427	 0.058468	 647.894956	 0.046335	 0.000000	 0.000000	 0.012133	 0.000000	 0.115768	 nan
647.658114	 0.057953	 648.101034	 0.047797	 0.000000	 0.000000	 0.010157	 0.000000	 0.096043	 nan
647.850971	 0.058204	 648.309063	 0.050402	 0.000000	 0.000000	 0.007802	 0.000000	 0.071834	 nan
648.059609	 0.059868	 648.530755	 0.053108	 0.000000	 0.000000	 0.006760	 0.000000	 0.059831	 nan
648.288085	 0.062861	 648.752453	 0.054485	 0.000000	 0.000000	 0.008376	 0.000000	 0.071380	 nan
648.485871	 0.066495	 648.956956	 0.054498	 0.000000	 0.000000	 0.011996	 0.000000	 0.099150	 nan
