Q 	 ICP 	  ICN 	 ILH 	 ILV 	 IXMCDR  
5.34655e-07	 3.4474e-11	 3.6234e-11	 3.5467e-11	 3.7193e-11	 -1.76e-12	 -0.0248911
0.00125092	 2.8148e-13	 2.9906e-13	 2.9151e-13	 3.0685e-13	 -1.758e-14	 -0.0302822
0.00250128	 7.6985e-13	 8.1995e-13	 8.2046e-13	 8.5043e-13	 -5.01e-14	 -0.0315134
0.00375163	 1.5425e-12	 1.6259e-12	 1.6255e-12	 1.6781e-12	 -8.34e-14	 -0.0263224
0.00500197	 2.4012e-12	 2.5043e-12	 2.5088e-12	 2.5728e-12	 -1.031e-13	 -0.0210172
0.00625236	 3.2005e-12	 3.352e-12	 3.3893e-12	 3.4703e-12	 -1.515e-13	 -0.0231209
0.00750266	 4.0989e-12	 4.2498e-12	 4.2023e-12	 4.3232e-12	 -1.509e-13	 -0.0180747
0.00875294	 4.978e-12	 5.1291e-12	 5.151e-12	 5.2619e-12	 -1.511e-13	 -0.0149499
0.0100032	 5.5866e-12	 5.8651e-12	 5.9023e-12	 6.0591e-12	 -2.785e-13	 -0.0243195
0.0112534	 6.348e-12	 6.668e-12	 6.617e-12	 6.8127e-12	 -3.2e-13	 -0.0245851
0.0125036	 7.0193e-12	 7.3666e-12	 7.2958e-12	 7.5415e-12	 -3.473e-13	 -0.0241417
0.0137538	 7.657e-12	 8.0513e-12	 7.9675e-12	 8.134e-12	 -3.943e-13	 -0.0251014
0.0150039	 8.3985e-12	 8.8193e-12	 8.2772e-12	 9.0353e-12	 -4.208e-13	 -0.0244398
0.0162539	 8.9017e-12	 9.4092e-12	 9.3274e-12	 9.6317e-12	 -5.075e-13	 -0.0277157
0.017504	 9.4562e-12	 1.0008e-11	 9.863e-12	 1.0231e-11	 -5.518e-13	 -0.0283495
0.0187539	 9.9103e-12	 1.0493e-11	 1.0328e-11	 1.073e-11	 -5.827e-13	 -0.0285591
0.0200038	 1.03e-11	 1.0919e-11	 1.0741e-11	 1.1157e-11	 -6.19e-13	 -0.029172
0.0212537	 1.0782e-11	 1.0849e-11	 1.1249e-11	 1.1656e-11	 -6.7e-14	 -0.00309741
0.0225034	 1.0949e-11	 1.1575e-11	 1.1438e-11	 1.1892e-11	 -6.26e-13	 -0.0277926
