Q 	 ICP 	  ICN 	 ILH 	 ILV 	 IXMCDR  
2.77824e-05	 2.3547e-11	 3.0464e-11	 2.9013e-11	 1.8611e-11	 -6.917e-12	 -0.128067
0.000625175	 2.0754e-13	 2.5017e-13	 2.4323e-13	 1.6831e-13	 -4.263e-14	 -0.0931376
0.00125036	 5.4453e-13	 6.793e-13	 6.7621e-13	 4.5656e-13	 -1.3477e-13	 -0.110122
0.00187553	 1.0423e-12	 1.3579e-12	 1.3409e-12	 8.5111e-13	 -3.156e-13	 -0.131489
0.0025007	 1.5252e-12	 2.0951e-12	 2.0138e-12	 1.2523e-12	 -5.699e-13	 -0.157418
0.00312587	 2.0993e-12	 2.8079e-12	 2.7602e-12	 1.556e-12	 -7.086e-13	 -0.1444
0.00375102	 2.5972e-12	 3.3801e-12	 3.4434e-12	 1.9927e-12	 -7.829e-13	 -0.130979
0.00437616	 2.6002e-12	 4.302e-12	 3.7332e-12	 2.4469e-12	 -1.7018e-12	 -0.246559
0.00500129	 3.5137e-12	 4.8224e-12	 4.7075e-12	 2.68e-12	 -1.3087e-12	 -0.156992
0.0056264	 3.8565e-12	 5.3686e-12	 5.2527e-12	 2.9745e-12	 -1.5121e-12	 -0.163912
0.00625149	 4.2412e-12	 5.6676e-12	 5.7751e-12	 3.3039e-12	 -1.4264e-12	 -0.143953
0.00687657	 4.6413e-12	 6.4111e-12	 6.2578e-12	 3.626e-12	 -1.7698e-12	 -0.160128
0.00750162	 5.1943e-12	 7.1191e-12	 6.9287e-12	 3.2591e-12	 -1.9248e-12	 -0.156318
0.00812666	 5.3451e-12	 7.396e-12	 7.1906e-12	 4.1383e-12	 -2.0509e-12	 -0.160967
0.00875166	 5.2447e-12	 7.7469e-12	 7.5617e-12	 4.2758e-12	 -2.5022e-12	 -0.192601
0.00937664	 5.9549e-12	 8.106e-12	 7.9128e-12	 4.4822e-12	 -2.1511e-12	 -0.152985
0.0100016	 6.2924e-12	 8.452e-12	 7.9137e-12	 4.7446e-12	 -2.1596e-12	 -0.146469
0.0106265	 6.8074e-12	 8.9226e-12	 8.776e-12	 5.192e-12	 -2.1152e-12	 -0.134469
0.0112514	 6.7561e-12	 8.9944e-12	 8.8122e-12	 5.12e-12	 -2.2383e-12	 -0.14211
0.0118763	 6.7819e-12	 9.1278e-12	 8.9432e-12	 5.1757e-12	 -2.3459e-12	 -0.147451
0.0125011	 6.8632e-12	 9.3453e-12	 9.0954e-12	 5.2767e-12	 -2.4821e-12	 -0.153136
0.0131259	 7.0501e-12	 9.5529e-12	 9.336e-12	 5.397e-12	 -2.5028e-12	 -0.150744
0.0137506	 7.4863e-12	 9.9451e-12	 9.7332e-12	 5.8134e-12	 -2.4588e-12	 -0.141056
0.0143753	 7.3522e-12	 9.8422e-12	 9.5579e-12	 5.7177e-12	 -2.49e-12	 -0.144815
0.015	 7.3122e-12	 9.7649e-12	 9.4944e-12	 5.7811e-12	 -2.4527e-12	 -0.143625
0.0156246	 7.34e-12	 9.7296e-12	 9.4361e-12	 5.8579e-12	 -2.3896e-12	 -0.139992
0.0162491	 7.3575e-12	 9.6945e-12	 9.376e-12	 5.9248e-12	 -2.337e-12	 -0.137051
0.0168736	 7.6351e-12	 9.899e-12	 9.6187e-12	 6.1964e-12	 -2.2639e-12	 -0.129114
0.0174981	 7.4505e-12	 9.6912e-12	 9.3136e-12	 5.9873e-12	 -2.2407e-12	 -0.130716
0.0181225	 7.393e-12	 9.5127e-12	 9.158e-12	 5.9754e-12	 -2.1197e-12	 -0.125384
0.0187469	 7.7405e-12	 1.0003e-11	 9.5611e-12	 6.523e-12	 -2.2625e-12	 -0.127511
0.0193712	 7.9094e-12	 1.0001e-11	 9.4577e-12	 6.6697e-12	 -2.0916e-12	 -0.116781
0.0199954	 7.9843e-12	 9.9888e-12	 9.5308e-12	 6.8016e-12	 -2.0045e-12	 -0.111528
