Q 	 ICP 	  ICN 	 ILH 	 ILV 	 IXMCDR  
5.34655e-07	 3.8642e-11	 3.5726e-11	 3.1056e-11	 3.7198e-11	 2.916e-12	 0.0392104
0.00125092	 4.1873e-13	 3.3263e-13	 2.9212e-13	 3.4911e-13	 8.61e-14	 0.114592
0.00250128	 8.9555e-13	 7.827e-13	 7.2797e-13	 8.3589e-13	 1.1285e-13	 0.0672427
0.00375163	 1.6155e-12	 1.4716e-12	 1.4248e-12	 1.5656e-12	 1.439e-13	 0.0466133
0.00500197	 2.3911e-12	 2.2373e-12	 2.1692e-12	 2.3524e-12	 1.538e-13	 0.0332296
0.00625236	 3.1705e-12	 3.0001e-12	 2.9702e-12	 3.1408e-12	 1.704e-13	 0.0276148
0.00750266	 3.9427e-12	 3.749e-12	 3.738e-12	 3.9145e-12	 1.937e-13	 0.025183
0.00875294	 4.7085e-12	 4.4996e-12	 4.5137e-12	 4.683e-12	 2.089e-13	 0.0226865
0.0100032	 5.4564e-12	 5.226e-12	 5.1667e-12	 5.4285e-12	 2.304e-13	 0.0215682
0.0112534	 6.1613e-12	 5.915e-12	 5.8867e-12	 6.1348e-12	 2.463e-13	 0.0203953
0.0125036	 6.8393e-12	 6.5598e-12	 6.5155e-12	 6.7929e-12	 2.795e-13	 0.0208596
0.0137538	 7.4645e-12	 7.1621e-12	 7.0968e-12	 7.417e-12	 3.024e-13	 0.0206747
0.0150039	 8.0873e-12	 7.7644e-12	 7.715e-12	 8.0348e-12	 3.229e-13	 0.0203701
0.0162539	 8.7186e-12	 8.3742e-12	 8.2163e-12	 1.7031e-12	 3.444e-13	 0.0201488
0.017504	 9.3357e-12	 8.9811e-12	 8.7525e-12	 9.2795e-12	 3.546e-13	 0.0193593
0.0187539	 9.9218e-12	 9.5582e-12	 9.2466e-12	 9.856e-12	 3.636e-13	 0.0186653
0.0200038	 1.0445e-11	 1.0065e-11	 9.5552e-12	 1.0357e-11	 3.8e-13	 0.0185275
0.0212537	 1.0899e-11	 1.0492e-11	 1.0116e-11	 1.0783e-11	 4.07e-13	 0.0190267
0.0225034	 1.1308e-11	 1.0843e-11	 1.0323e-11	 1.1125e-11	 4.65e-13	 0.0209923
0.0237532	 1.1678e-11	 1.1161e-11	 1.0502e-11	 1.1427e-11	 5.17e-13	 0.0226367
