Q 	 ICP 	  ICN 	 ILH 	 ILV 	 IXMCDR  
0.0686644	 2.3784e-12	 2.2411e-12	 2.0262e-12	 1.5869e-12	 1.373e-13	 0.0297218
0.0699089	 2.2347e-12	 2.0903e-12	 1.9025e-12	 1.4938e-12	 1.444e-13	 0.0333873
0.0711531	 2.1071e-12	 1.9896e-12	 1.8159e-12	 1.4495e-12	 1.175e-13	 0.0286816
0.0723972	 1.9179e-12	 1.805e-12	 1.6573e-12	 1.3091e-12	 1.129e-13	 0.0303258
0.0736411	 1.7529e-12	 1.6518e-12	 1.5126e-12	 1.2034e-12	 1.011e-13	 0.0296942
0.0748847	 1.6033e-12	 1.5062e-12	 1.3864e-12	 1.1015e-12	 9.71e-14	 0.0312269
0.0761281	 1.4603e-12	 1.3739e-12	 1.265e-12	 1.0086e-12	 8.64e-14	 0.0304848
0.0773712	 1.3435e-12	 1.2645e-12	 1.1711e-12	 9.4118e-13	 7.9e-14	 0.0302914
0.0786142	 1.1973e-12	 1.125e-12	 1.0425e-12	 8.3317e-13	 7.23e-14	 0.0311329
0.0798569	 1.072e-12	 1.0089e-12	 9.3632e-13	 7.4818e-13	 6.31e-14	 0.0303234
0.0810993	 9.5669e-13	 9.0335e-13	 8.4005e-13	 6.7217e-13	 5.334e-14	 0.0286768
0.0823415	 8.539e-13	 8.0445e-13	 7.494e-13	 5.9758e-13	 4.945e-14	 0.0298188
0.0835835	 7.6747e-13	 7.2641e-13	 6.7846e-13	 5.4554e-13	 4.106e-14	 0.0274855
0.0848252	 6.7315e-13	 6.2859e-13	 5.9334e-13	 4.7366e-13	 4.456e-14	 0.0342311
0.0860666	 5.8303e-13	 5.5816e-13	 5.2033e-13	 4.0352e-13	 2.487e-14	 0.021793
0.0873078	 5.2353e-13	 4.9378e-13	 4.5083e-13	 3.6772e-13	 2.975e-14	 0.0292438
0.0885487	 4.6295e-13	 4.3561e-13	 4.0728e-13	 3.2527e-13	 2.734e-14	 0.0304265
0.0897893	 4.1466e-13	 3.9091e-13	 3.6694e-13	 2.9526e-13	 2.375e-14	 0.0294822
0.0910297	 3.6661e-13	 3.4414e-13	 3.2256e-13	 2.5879e-13	 2.247e-14	 0.0316145
0.0922698	 3.3111e-13	 3.0979e-13	 2.9185e-13	 2.3398e-13	 2.132e-14	 0.0332657
0.0935096	 3.0513e-13	 2.8413e-13	 2.677e-13	 2.1472e-13	 2.1e-14	 0.0356379
0.0947491	 2.8724e-13	 2.6694e-13	 2.5041e-13	 2.023e-13	 2.03e-14	 0.0366307
0.0959883	 2.7997e-13	 2.6038e-13	 2.405e-13	 1.9862e-13	 1.959e-14	 0.0362543
0.0972273	 2.686e-13	 2.5353e-13	 2.3801e-13	 1.9225e-13	 1.507e-14	 0.0288625
0.0984659	 2.7285e-13	 2.532e-13	 2.3665e-13	 1.9245e-13	 1.965e-14	 0.0373539
0.0997043	 2.7669e-13	 2.5671e-13	 2.3826e-13	 1.9541e-13	 1.998e-14	 0.0374578
0.100942	 2.8129e-13	 2.6113e-13	 2.4079e-13	 1.9896e-13	 2.016e-14	 0.0371668
0.10218	 2.8742e-13	 2.6649e-13	 2.493e-13	 2.0538e-13	 2.093e-14	 0.0377859
0.103417	 2.854e-13	 2.6599e-13	 2.4351e-13	 2.0331e-13	 1.941e-14	 0.0352019
0.104655	 2.8208e-13	 2.6249e-13	 2.4164e-13	 2.0183e-13	 1.959e-14	 0.0359733
0.105891	 2.7472e-13	 2.5667e-13	 2.3415e-13	 1.9716e-13	 1.805e-14	 0.0339675
0.107128	 2.6291e-13	 2.4462e-13	 2.2517e-13	 1.8983e-13	 1.829e-14	 0.0360373
0.108364	 2.4886e-13	 2.3383e-13	 2.1356e-13	 1.814e-13	 1.503e-14	 0.031138
0.1096	 2.2757e-13	 2.1385e-13	 1.9378e-13	 1.6555e-13	 1.372e-14	 0.0310815
0.110835	 2.0508e-13	 1.9242e-13	 1.719e-13	 1.4881e-13	 1.266e-14	 0.0318491
0.11207	 1.8197e-13	 1.7095e-13	 1.4771e-13	 1.3242e-13	 1.102e-14	 0.0312252
0.113305	 1.5849e-13	 1.4888e-13	 1.2796e-13	 1.1536e-13	 9.61e-15	 0.0312653
