Q 	 ICP 	  ICN 	 ILH 	 ILV 	 IXMCDR  
2.77824e-05	 3.5138e-11	 3.3799e-11	 3.236e-11	 3.4676e-11	 1.339e-12	 0.0194235
0.000625175	 2.862e-13	 2.7777e-13	 2.5546e-13	 2.8259e-13	 8.43e-15	 0.0149476
0.00125036	 7.595e-13	 7.4321e-13	 6.9488e-13	 7.859e-13	 1.629e-14	 0.0108404
0.00187553	 1.5225e-12	 1.4968e-12	 1.4082e-12	 1.5665e-12	 2.57e-14	 0.00851191
0.0025007	 2.3709e-12	 2.3291e-12	 2.1426e-12	 2.4383e-12	 4.18e-14	 0.00889362
0.00312587	 3.1334e-12	 3.0859e-12	 2.9538e-12	 3.3082e-12	 4.75e-14	 0.00763752
0.00375102	 4.0627e-12	 3.9678e-12	 3.7274e-12	 4.0873e-12	 9.49e-14	 0.0118174
0.00437616	 4.9386e-12	 4.8398e-12	 4.131e-12	 5.0537e-12	 9.88e-14	 0.0101039
0.00500129	 5.562e-12	 5.5245e-12	 5.1803e-12	 5.7917e-12	 3.75e-14	 0.00338249
0.0056264	 6.3555e-12	 6.0811e-12	 5.8077e-12	 6.4806e-12	 2.744e-13	 0.0220639
0.00625149	 7.0137e-12	 6.8461e-12	 6.4211e-12	 7.1601e-12	 1.676e-13	 0.0120925
0.00687657	 7.6681e-12	 7.4903e-12	 7.0085e-12	 7.8224e-12	 1.778e-13	 0.0117295
0.00750162	 8.4411e-12	 8.2445e-12	 7.7485e-12	 8.1075e-12	 1.966e-13	 0.0117826
0.00812666	 8.9998e-12	 8.7564e-12	 7.9521e-12	 9.1291e-12	 2.434e-13	 0.0137079
0.00875166	 9.55e-12	 9.2857e-12	 8.7328e-12	 9.6581e-12	 2.643e-13	 0.0140319
0.00937664	 1.0017e-11	 9.7338e-12	 9.1522e-12	 1.0128e-11	 2.832e-13	 0.0143387
0.0100016	 1.0399e-11	 1.0113e-11	 9.5305e-12	 1.0507e-11	 2.86e-13	 0.0139431
0.0106265	 1.0887e-11	 1.0654e-11	 1.0028e-11	 1.0499e-11	 2.33e-13	 0.0108166
0.0112514	 1.112e-11	 1.0871e-11	 1.0134e-11	 1.1144e-11	 2.49e-13	 0.0113228
0.0118763	 1.113e-11	 1.1165e-11	 1.0284e-11	 1.139e-11	 -3.5e-14	 -0.00156986
0.0125011	 1.1697e-11	 1.1051e-11	 1.0507e-11	 1.1671e-11	 6.46e-13	 0.0283981
0.0131259	 1.1944e-11	 1.1595e-11	 1.0738e-11	 1.1901e-11	 3.49e-13	 0.0148265
0.0137506	 1.2311e-11	 1.1996e-11	 1.1151e-11	 1.2269e-11	 3.15e-13	 0.0129592
0.0143753	 1.2231e-11	 1.1858e-11	 1.0952e-11	 1.214e-11	 3.73e-13	 0.0154842
0.015	 1.2183e-11	 1.183e-11	 1.0876e-11	 1.2104e-11	 3.53e-13	 0.0147004
0.0156246	 1.2252e-11	 1.1776e-11	 1.0821e-11	 1.2067e-11	 4.76e-13	 0.0198102
0.0162491	 1.2254e-11	 1.1747e-11	 1.0769e-11	 1.2011e-11	 5.07e-13	 0.0211241
0.0168736	 1.2441e-11	 1.1987e-11	 1.1036e-11	 1.227e-11	 4.54e-13	 0.0185852
0.0174981	 1.2165e-11	 1.1797e-11	 1.0765e-11	 1.2062e-11	 3.68e-13	 0.0153576
0.0181225	 1.2116e-11	 1.1632e-11	 1.0559e-11	 1.1862e-11	 4.84e-13	 0.0203807
0.0187469	 1.1922e-11	 1.142e-11	 1.0362e-11	 1.163e-11	 5.02e-13	 0.0215063
0.0193712	 1.2344e-11	 1.1823e-11	 1.0886e-11	 1.2035e-11	 5.21e-13	 0.0215583
0.0199954	 1.2489e-11	 1.1949e-11	 1.1038e-11	 1.2148e-11	 5.4e-13	 0.0220967
0.0206196	 1.2115e-11	 1.1668e-11	 1.0752e-11	 1.1867e-11	 4.47e-13	 0.0187949
0.0212437	 1.1847e-11	 1.1345e-11	 1.0534e-11	 1.155e-11	 5.02e-13	 0.0216454
0.0218677	 1.1525e-11	 1.0996e-11	 1.0174e-11	 1.1144e-11	 5.29e-13	 0.0234892
0.0224917	 1.1176e-11	 1.0683e-11	 9.8902e-12	 1.0776e-11	 4.93e-13	 0.0225536
0.0231156	 1.1e-11	 1.0546e-11	 9.8053e-12	 1.0585e-11	 4.54e-13	 0.0210712
0.0237395	 1.0493e-11	 1.0105e-11	 9.3349e-12	 1.0078e-11	 3.88e-13	 0.0188368
0.0243632	 1.0084e-11	 9.7237e-12	 9.0008e-12	 9.6682e-12	 3.603e-13	 0.0181899
0.0249869	 9.6851e-12	 9.3604e-12	 8.6386e-12	 9.2733e-12	 3.247e-13	 0.0170486
0.0256106	 9.3033e-12	 8.9819e-12	 8.2913e-12	 8.8937e-12	 3.214e-13	 0.0175771
0.0262341	 9.0348e-12	 8.7387e-12	 8.038e-12	 8.6366e-12	 2.961e-13	 0.0166596
0.0268576	 8.4997e-12	 8.2262e-12	 7.5762e-12	 8.1166e-12	 2.735e-13	 0.0163519
0.0274809	 8.0583e-12	 7.7979e-12	 7.1994e-12	 7.7012e-12	 2.604e-13	 0.0164226
0.0281042	 7.624e-12	 7.3748e-12	 6.7992e-12	 7.2699e-12	 2.492e-13	 0.0166147
0.0287274	 7.1899e-12	 6.9596e-12	 6.436e-12	 6.8553e-12	 2.303e-13	 0.0162762
0.0293506	 6.8384e-12	 6.6127e-12	 6.1609e-12	 6.5224e-12	 2.257e-13	 0.0167793
0.0299736	 6.3401e-12	 6.1258e-12	 5.7219e-12	 6.031e-12	 2.143e-13	 0.0171909
0.0305965	 5.8975e-12	 5.697e-12	 5.3171e-12	 5.5986e-12	 2.005e-13	 0.0172927
0.0312194	 5.4591e-12	 5.2821e-12	 4.9346e-12	 5.1804e-12	 1.77e-13	 0.0164786
0.0318421	 5.0402e-12	 4.8618e-12	 4.5642e-12	 4.7857e-12	 1.784e-13	 0.0180166
0.0324648	 4.6719e-12	 4.5055e-12	 4.2448e-12	 4.4311e-12	 1.664e-13	 0.0181315
0.0330874	 4.2365e-12	 4.0744e-12	 3.8447e-12	 4.0088e-12	 1.621e-13	 0.0195045
0.0337098	 3.8481e-12	 3.6957e-12	 3.4994e-12	 3.632e-12	 1.524e-13	 0.020202
0.0343322	 3.4732e-12	 3.3366e-12	 3.1665e-12	 3.2785e-12	 1.366e-13	 0.0200593
0.0349544	 3.1253e-12	 2.997e-12	 2.8563e-12	 2.9541e-12	 1.283e-13	 0.0209562
0.0355766	 2.8171e-12	 2.6408e-12	 2.5898e-12	 2.6639e-12	 1.763e-13	 0.0323018
0.0361986	 2.4892e-12	 2.3974e-12	 2.2957e-12	 2.3531e-12	 9.18e-14	 0.0187861
0.0368205	 2.2171e-12	 2.1216e-12	 2.0382e-12	 2.0799e-12	 9.55e-14	 0.0220112
0.0374423	 1.9598e-12	 1.8747e-12	 1.8058e-12	 1.8385e-12	 8.51e-14	 0.0221932
0.038064	 1.7383e-12	 1.6624e-12	 1.6027e-12	 1.6246e-12	 7.59e-14	 0.0223189
0.0386856	 1.5471e-12	 1.4851e-12	 1.3882e-12	 1.4097e-12	 6.2e-14	 0.0204472
0.0393071	 1.367e-12	 1.3182e-12	 1.265e-12	 1.2755e-12	 4.88e-14	 0.0181737
0.0399284	 1.2211e-12	 1.1814e-12	 1.134e-12	 1.1394e-12	 3.97e-14	 0.0165245
0.0405497	 1.0982e-12	 1.0724e-12	 1.0279e-12	 1.0289e-12	 2.58e-14	 0.0118861
0.0411708	 1.0024e-12	 9.8859e-13	 9.4418e-13	 9.4404e-13	 1.381e-14	 0.00693625
0.0417917	 9.3167e-13	 9.2758e-13	 8.8503e-13	 8.8117e-13	 4.09e-15	 0.00219981
0.0424126	 8.6724e-13	 8.7318e-13	 8.2846e-13	 8.2463e-13	 -5.94e-15	 -0.00341297
