Q 	 ICP 	  ICN 	 ILH 	 ILV 	 IXMCDR  
2.77824e-05	 2.7445e-11	 2.7708e-11	 2.955e-11	 2.973e-11	 -2.63e-13	 -0.00476855
0.000625175	 2.5339e-13	 2.5664e-13	 2.6868e-13	 2.7135e-13	 -3.25e-15	 -0.00637217
0.00125036	 6.3363e-13	 6.4247e-13	 6.9407e-13	 7.0472e-13	 -8.84e-15	 -0.00692736
0.00187553	 1.2659e-12	 1.2805e-12	 1.3654e-12	 1.3904e-12	 -1.46e-14	 -0.00573358
0.0025007	 1.9603e-12	 1.9769e-12	 2.081e-12	 2.1081e-12	 -1.66e-14	 -0.00421619
0.00312587	 2.6507e-12	 2.6659e-12	 2.8493e-12	 2.8798e-12	 -1.52e-14	 -0.00285897
0.00375102	 3.2162e-12	 3.2729e-12	 3.5773e-12	 3.6132e-12	 -5.67e-14	 -0.00873773
0.00437616	 4.0774e-12	 4.1012e-12	 4.3585e-12	 4.3844e-12	 -2.38e-14	 -0.00291003
0.00500129	 4.6243e-12	 4.6601e-12	 4.8552e-12	 4.919e-12	 -3.58e-14	 -0.00385593
0.0056264	 5.1898e-12	 5.2298e-12	 5.5626e-12	 5.6144e-12	 -4e-14	 -0.00383892
0.00625149	 5.7182e-12	 5.7551e-12	 6.1358e-12	 6.1956e-12	 -3.69e-14	 -0.00321616
0.00687657	 6.2051e-12	 6.2486e-12	 6.6567e-12	 6.7211e-12	 -4.35e-14	 -0.00349294
0.00750162	 6.2004e-12	 6.2931e-12	 7.2531e-12	 7.3279e-12	 -9.27e-14	 -0.00741986
0.00812666	 7.1271e-12	 7.1844e-12	 7.6082e-12	 7.7227e-12	 -5.73e-14	 -0.00400377
0.00875166	 7.5118e-12	 7.5719e-12	 8.0481e-12	 8.1545e-12	 -6.01e-14	 -0.00398443
0.00937664	 7.9022e-12	 7.9837e-12	 8.4373e-12	 8.5575e-12	 -8.15e-14	 -0.00513034
0.0100016	 8.2617e-12	 8.3564e-12	 8.8079e-12	 8.9369e-12	 -9.47e-14	 -0.00569861
0.0106265	 8.7025e-12	 8.7902e-12	 9.2359e-12	 8.6827e-12	 -8.77e-14	 -0.00501352
0.0112514	 8.7508e-12	 8.8531e-12	 9.2799e-12	 9.4468e-12	 -1.023e-13	 -0.00581121
0.0118763	 8.8447e-12	 8.9368e-12	 9.3696e-12	 9.5291e-12	 -9.21e-14	 -0.00517954
0.0125011	 8.984e-12	 9.0904e-12	 9.4211e-12	 9.6647e-12	 -1.064e-13	 -0.00588678
0.0131259	 9.1539e-12	 9.2548e-12	 9.3244e-12	 9.81e-12	 -1.009e-13	 -0.0054811
0.0137506	 9.5296e-12	 9.5897e-12	 9.9451e-12	 1.0142e-11	 -6.01e-14	 -0.00314342
0.0143753	 9.4756e-12	 9.5953e-12	 9.8713e-12	 1.0059e-11	 -1.197e-13	 -0.00627658
0.015	 9.4715e-12	 9.6075e-12	 9.9169e-12	 1.0078e-11	 -1.36e-13	 -0.00712826
0.0156246	 9.494e-12	 9.6181e-12	 9.9054e-12	 1.0067e-11	 -1.241e-13	 -0.00649327
0.0162491	 9.4666e-12	 9.5985e-12	 9.8528e-12	 1.0022e-11	 -1.319e-13	 -0.0069184
0.0168736	 9.6349e-12	 9.753e-12	 9.9867e-12	 1.0117e-11	 -1.181e-13	 -0.00609143
0.0174981	 9.3886e-12	 9.5243e-12	 9.7616e-12	 9.8856e-12	 -1.357e-13	 -0.007175
0.0181225	 9.2448e-12	 9.4057e-12	 9.6022e-12	 9.7681e-12	 -1.609e-13	 -0.00862711
0.0187469	 9.6802e-12	 9.8359e-12	 9.9451e-12	 1.0121e-11	 -1.557e-13	 -0.00797803
0.0193712	 9.7798e-12	 9.9755e-12	 1.0026e-11	 1.016e-11	 -1.957e-13	 -0.0099062
0.0199954	 9.8397e-12	 1.0063e-11	 1.0029e-11	 1.0141e-11	 -2.233e-13	 -0.0112196
0.0206196	 9.5417e-12	 9.7299e-12	 9.6807e-12	 9.7699e-12	 -1.882e-13	 -0.00976567
0.0212437	 9.234e-12	 9.4189e-12	 9.3916e-12	 9.4441e-12	 -1.849e-13	 -0.00991267
0.0218677	 8.8618e-12	 9.1108e-12	 9.0479e-12	 9.1359e-12	 -2.49e-13	 -0.0138544
0.0224917	 8.6169e-12	 8.8092e-12	 8.8063e-12	 8.8759e-12	 -1.923e-13	 -0.0110352
