field, Pi-full, Si-full,Pi-Si, Pi-Pi, Si-Si, Si,-Pi, XMCD, LC,RC 
-100 , 2.0910852e-05 , 2.7407571e-05, 4.2272767e-07 , 2.0488124e-05 , 2.7075022e-05,, 3.3254875e-07 , 1.1403069e-06 , 2.4729365e-05 , 2.3589058e-05 
-99 , 2.0910852e-05 , 2.7407571e-05, 4.2272767e-07 , 2.0488124e-05 , 2.7075022e-05,, 3.3254875e-07 , 1.1403069e-06 , 2.4729365e-05 , 2.3589058e-05 
-98 , 2.0910852e-05 , 2.7407571e-05, 4.2272767e-07 , 2.0488124e-05 , 2.7075022e-05,, 3.3254875e-07 , 1.1403069e-06 , 2.4729365e-05 , 2.3589058e-05 
-97 , 2.0910852e-05 , 2.7407571e-05, 4.2272767e-07 , 2.0488124e-05 , 2.7075022e-05,, 3.3254875e-07 , 1.1403069e-06 , 2.4729365e-05 , 2.3589058e-05 
-96 , 2.0910852e-05 , 2.7407571e-05, 4.2272767e-07 , 2.0488124e-05 , 2.7075022e-05,, 3.3254875e-07 , 1.1403069e-06 , 2.4729365e-05 , 2.3589058e-05 
-95 , 2.0910852e-05 , 2.7407571e-05, 4.2272767e-07 , 2.0488124e-05 , 2.7075022e-05,, 3.3254875e-07 , 1.1403069e-06 , 2.4729365e-05 , 2.3589058e-05 
-94 , 2.0910852e-05 , 2.7407571e-05, 4.2272767e-07 , 2.0488124e-05 , 2.7075022e-05,, 3.3254875e-07 , 1.1403069e-06 , 2.4729365e-05 , 2.3589058e-05 
-93 , 2.0910852e-05 , 2.7407571e-05, 4.2272767e-07 , 2.0488124e-05 , 2.7075022e-05,, 3.3254875e-07 , 1.1403069e-06 , 2.4729365e-05 , 2.3589058e-05 
-92 , 2.0910852e-05 , 2.7407571e-05, 4.2272767e-07 , 2.0488124e-05 , 2.7075022e-05,, 3.3254875e-07 , 1.1403069e-06 , 2.4729365e-05 , 2.3589058e-05 
-91 , 2.0910852e-05 , 2.7407571e-05, 4.2272767e-07 , 2.0488124e-05 , 2.7075022e-05,, 3.3254875e-07 , 1.1403069e-06 , 2.4729365e-05 , 2.3589058e-05 
