field, Pi-full, Si-full,Pi-Si, Pi-Pi, Si-Si, Si,-Pi, XMCD, LC,RC 
-100 , 2.1246124e-05 , 2.4112179e-05, 2.0502246e-11 , 2.1246103e-05 , 2.4112168e-05,, 1.0057244e-11 , 2.4591925e-08 , 2.2691447e-05 , 2.2666855e-05 
-99 , 2.1246124e-05 , 2.4112179e-05, 2.0502246e-11 , 2.1246103e-05 , 2.4112168e-05,, 1.0057244e-11 , 2.4591925e-08 , 2.2691447e-05 , 2.2666855e-05 
-98 , 2.1246124e-05 , 2.4112179e-05, 2.0502246e-11 , 2.1246103e-05 , 2.4112168e-05,, 1.0057244e-11 , 2.4591925e-08 , 2.2691447e-05 , 2.2666855e-05 
-97 , 2.1246124e-05 , 2.4112179e-05, 2.0502246e-11 , 2.1246103e-05 , 2.4112168e-05,, 1.0057244e-11 , 2.4591925e-08 , 2.2691447e-05 , 2.2666855e-05 
-96 , 2.1246124e-05 , 2.4112179e-05, 2.0502246e-11 , 2.1246103e-05 , 2.4112168e-05,, 1.0057244e-11 , 2.4591925e-08 , 2.2691447e-05 , 2.2666855e-05 
-95 , 2.1246124e-05 , 2.4112179e-05, 2.0502246e-11 , 2.1246103e-05 , 2.4112168e-05,, 1.0057244e-11 , 2.4591925e-08 , 2.2691447e-05 , 2.2666855e-05 
-94 , 2.1246124e-05 , 2.4112179e-05, 2.0502246e-11 , 2.1246103e-05 , 2.4112168e-05,, 1.0057244e-11 , 2.4591925e-08 , 2.2691447e-05 , 2.2666855e-05 
-93 , 2.1246124e-05 , 2.4112179e-05, 2.0502246e-11 , 2.1246103e-05 , 2.4112168e-05,, 1.0057244e-11 , 2.4591925e-08 , 2.2691447e-05 , 2.2666855e-05 
-92 , 2.1246124e-05 , 2.4112179e-05, 2.0502246e-11 , 2.1246103e-05 , 2.4112168e-05,, 1.0057244e-11 , 2.4591925e-08 , 2.2691447e-05 , 2.2666855e-05 
-91 , 2.1246124e-05 , 2.4112179e-05, 2.0502246e-11 , 2.1246103e-05 , 2.4112168e-05,, 1.0057244e-11 , 2.4591925e-08 , 2.2691447e-05 , 2.2666855e-05 
-90 , 2.1246124e-05 , 2.4112179e-05, 2.0502246e-11 , 2.1246103e-05 , 2.4112168e-05,, 1.0057244e-11 , 2.4591925e-08 , 2.2691447e-05 , 2.2666855e-05 
-89 , 2.1246124e-05 , 2.4112179e-05, 2.0502246e-11 , 2.1246103e-05 , 2.4112168e-05,, 1.0057244e-11 , 2.4591925e-08 , 2.2691447e-05 , 2.2666855e-05 
-88 , 2.1246124e-05 , 2.4112179e-05, 2.0502246e-11 , 2.1246103e-05 , 2.4112168e-05,, 1.0057244e-11 , 2.4591925e-08 , 2.2691447e-05 , 2.2666855e-05 
-87 , 2.1246124e-05 , 2.4112179e-05, 2.0502246e-11 , 2.1246103e-05 , 2.4112168e-05,, 1.0057244e-11 , 2.4591925e-08 , 2.2691447e-05 , 2.2666855e-05 
-86 , 2.1246124e-05 , 2.4112179e-05, 2.0502246e-11 , 2.1246103e-05 , 2.4112168e-05,, 1.0057244e-11 , 2.4591925e-08 , 2.2691447e-05 , 2.2666855e-05 
-85 , 2.1246124e-05 , 2.4112179e-05, 2.0502246e-11 , 2.1246103e-05 , 2.4112168e-05,, 1.0057244e-11 , 2.4591925e-08 , 2.2691447e-05 , 2.2666855e-05 
-84 , 2.1246124e-05 , 2.4112179e-05, 2.0502246e-11 , 2.1246103e-05 , 2.4112168e-05,, 1.0057244e-11 , 2.4591925e-08 , 2.2691447e-05 , 2.2666855e-05 
-83 , 2.1246124e-05 , 2.4112179e-05, 2.0502246e-11 , 2.1246103e-05 , 2.4112168e-05,, 1.0057244e-11 , 2.4591925e-08 , 2.2691447e-05 , 2.2666855e-05 
-82 , 2.1246124e-05 , 2.4112179e-05, 2.0502246e-11 , 2.1246103e-05 , 2.4112168e-05,, 1.0057244e-11 , 2.4591925e-08 , 2.2691447e-05 , 2.2666855e-05 
-81 , 2.1246124e-05 , 2.4112179e-05, 2.0502246e-11 , 2.1246103e-05 , 2.4112168e-05,, 1.0057244e-11 , 2.4591925e-08 , 2.2691447e-05 , 2.2666855e-05 
-80 , 2.1246124e-05 , 2.4112179e-05, 2.0502246e-11 , 2.1246103e-05 , 2.4112168e-05,, 1.0057244e-11 , 2.4591925e-08 , 2.2691447e-05 , 2.2666855e-05 
-79 , 2.1246124e-05 , 2.4112179e-05, 2.0502246e-11 , 2.1246103e-05 , 2.4112168e-05,, 1.0057244e-11 , 2.4591925e-08 , 2.2691447e-05 , 2.2666855e-05 
-78 , 2.1246124e-05 , 2.4112179e-05, 2.0502246e-11 , 2.1246103e-05 , 2.4112168e-05,, 1.0057244e-11 , 2.4591925e-08 , 2.2691447e-05 , 2.2666855e-05 
-77 , 2.1246124e-05 , 2.4112179e-05, 2.0502246e-11 , 2.1246103e-05 , 2.4112168e-05,, 1.0057244e-11 , 2.4591925e-08 , 2.2691447e-05 , 2.2666855e-05 
