field, Pi-full, Si-full,Pi-Si, Pi-Pi, Si-Si, Si,-Pi, XMCD, LC,RC 
-100 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-99 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-98 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-97 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-96 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-95 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-94 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-93 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-92 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-91 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-90 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-89 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-88 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-87 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-86 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-85 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-84 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-83 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-82 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-81 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-80 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-79 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-78 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-77 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-76 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-75 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-74 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-73 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-72 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-71 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-70 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-69 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-68 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-67 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-66 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-65 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-64 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-63 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
-62 , 2.5398418e-06 , 7.8625868e-05, 7.8394171e-09 , 2.5320024e-06 , 7.8617544e-05,, 8.3231491e-09 , 1.7256593e-06 , 4.1445684e-05 , 3.9720025e-05 
