field, Pi-full, Si-full,Pi-Si, Pi-Pi, Si-Si, Si,-Pi, XMCD, LC,RC 
-100 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-99 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-98 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-97 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-96 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-95 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-94 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-93 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-92 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-91 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-90 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-89 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-88 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-87 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-86 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-85 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-84 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-83 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-82 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-81 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-80 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-79 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-78 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-77 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-76 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-75 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-74 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-73 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-72 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-71 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-70 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-69 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-68 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-67 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-66 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-65 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-64 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-63 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
-62 , 1.1966592e-05 , 1.2405937e-05, 3.8001743e-09 , 1.1962792e-05 , 1.24021e-05,, 3.8363005e-09 , -4.5236185e-09 , 1.2184003e-05 , 1.2188526e-05 
