field, Pi-full, Si-full,Pi-Si, Pi-Pi, Si-Si, Si,-Pi, XMCD, LC,RC 
-100 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-99 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-98 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-97 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-96 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-95 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-94 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-93 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-92 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-91 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-90 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-89 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-88 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-87 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-86 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-85 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-84 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-83 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-82 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-81 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-80 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-79 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-78 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-77 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-76 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-75 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-74 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-73 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-72 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-71 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-70 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-69 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-68 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-67 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-66 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-65 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-64 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-63 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-62 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-61 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-60 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-59 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-58 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-57 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
-56 , 2.89185e-06 , 2.5446175e-05, 1.0868662e-41 , 2.89185e-06 , 2.5446175e-05,, 9.3416844e-42 , 0 , 1.4169012e-05 , 1.4169012e-05 
