field, Pi-full, Si-full,Pi-Si, Pi-Pi, Si-Si, Si,-Pi, XMCD, LC,RC 
-100 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-99 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-98 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-97 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-96 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-95 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-94 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-93 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-92 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-91 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-90 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-89 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-88 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-87 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-86 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-85 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-84 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-83 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-82 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-81 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-80 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-79 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-78 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-77 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-76 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-75 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-74 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-73 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-72 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-71 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-70 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-69 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-68 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-67 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-66 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-65 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-64 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-63 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-62 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-61 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-60 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-59 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-58 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-57 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-56 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-55 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-54 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-53 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-52 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
-51 , 6.5114922e-06 , 7.6072712e-06, 1.1000579e-08 , 6.5004916e-06 , 7.5964926e-06,, 1.0778629e-08 , 4.1958955e-08 , 7.0803612e-06 , 7.0384022e-06 
