field, Pi-full, Si-full,Pi-Si, Pi-Pi, Si-Si, Si,-Pi, XMCD, LC,RC 
-100 , 2.8434561e-05 , 3.4701329e-05, 1.6293136e-08 , 2.8418268e-05 , 3.4685347e-05,, 1.5982931e-08 , 9.7554218e-08 , 3.1616722e-05 , 3.1519168e-05 
-99 , 2.8434561e-05 , 3.4701329e-05, 1.6293136e-08 , 2.8418268e-05 , 3.4685347e-05,, 1.5982931e-08 , 9.7554218e-08 , 3.1616722e-05 , 3.1519168e-05 
-98 , 2.8434561e-05 , 3.4701329e-05, 1.6293136e-08 , 2.8418268e-05 , 3.4685347e-05,, 1.5982931e-08 , 9.7554218e-08 , 3.1616722e-05 , 3.1519168e-05 
-97 , 2.8434561e-05 , 3.4701329e-05, 1.6293136e-08 , 2.8418268e-05 , 3.4685347e-05,, 1.5982931e-08 , 9.7554218e-08 , 3.1616722e-05 , 3.1519168e-05 
-96 , 2.8434561e-05 , 3.4701329e-05, 1.6293136e-08 , 2.8418268e-05 , 3.4685347e-05,, 1.5982931e-08 , 9.7554218e-08 , 3.1616722e-05 , 3.1519168e-05 
-95 , 2.8434561e-05 , 3.4701329e-05, 1.6293136e-08 , 2.8418268e-05 , 3.4685347e-05,, 1.5982931e-08 , 9.7554218e-08 , 3.1616722e-05 , 3.1519168e-05 
-94 , 2.8434561e-05 , 3.4701329e-05, 1.6293136e-08 , 2.8418268e-05 , 3.4685347e-05,, 1.5982931e-08 , 9.7554218e-08 , 3.1616722e-05 , 3.1519168e-05 
-93 , 2.8434561e-05 , 3.4701329e-05, 1.6293136e-08 , 2.8418268e-05 , 3.4685347e-05,, 1.5982931e-08 , 9.7554218e-08 , 3.1616722e-05 , 3.1519168e-05 
-92 , 2.8434561e-05 , 3.4701329e-05, 1.6293136e-08 , 2.8418268e-05 , 3.4685347e-05,, 1.5982931e-08 , 9.7554218e-08 , 3.1616722e-05 , 3.1519168e-05 
-91 , 2.8434561e-05 , 3.4701329e-05, 1.6293136e-08 , 2.8418268e-05 , 3.4685347e-05,, 1.5982931e-08 , 9.7554218e-08 , 3.1616722e-05 , 3.1519168e-05 
-90 , 2.8434561e-05 , 3.4701329e-05, 1.6293136e-08 , 2.8418268e-05 , 3.4685347e-05,, 1.5982931e-08 , 9.7554218e-08 , 3.1616722e-05 , 3.1519168e-05 
-89 , 2.8434561e-05 , 3.4701329e-05, 1.6293136e-08 , 2.8418268e-05 , 3.4685347e-05,, 1.5982931e-08 , 9.7554218e-08 , 3.1616722e-05 , 3.1519168e-05 
-88 , 2.8434561e-05 , 3.4701329e-05, 1.6293136e-08 , 2.8418268e-05 , 3.4685347e-05,, 1.5982931e-08 , 9.7554218e-08 , 3.1616722e-05 , 3.1519168e-05 
-87 , 2.8434561e-05 , 3.4701329e-05, 1.6293136e-08 , 2.8418268e-05 , 3.4685347e-05,, 1.5982931e-08 , 9.7554218e-08 , 3.1616722e-05 , 3.1519168e-05 
-86 , 2.8434561e-05 , 3.4701329e-05, 1.6293136e-08 , 2.8418268e-05 , 3.4685347e-05,, 1.5982931e-08 , 9.7554218e-08 , 3.1616722e-05 , 3.1519168e-05 
-85 , 2.8434561e-05 , 3.4701329e-05, 1.6293136e-08 , 2.8418268e-05 , 3.4685347e-05,, 1.5982931e-08 , 9.7554218e-08 , 3.1616722e-05 , 3.1519168e-05 
