Q 	 ICP 	  ICN 	 IXMCDR  
2.47361e-05	 2.7077e-13	 9.3888e-15	 2.61381e-13	 0.932975
0.000846708	 4.2815e-13	 3.0467e-13	 1.2348e-13	 0.1685
0.00169375	 8.0615e-13	 5.8621e-13	 2.1994e-13	 0.157962
0.00254078	 1.1381e-12	 8.2383e-13	 3.1427e-13	 0.160184
0.00338779	 1.3789e-12	 1.0323e-12	 3.466e-13	 0.143746
0.00423478	 1.5365e-12	 1.1967e-12	 3.398e-13	 0.124323
0.00508174	 1.7158e-12	 1.299e-12	 4.168e-13	 0.138251
0.00592844	 1.8192e-12	 1.3729e-12	 4.463e-13	 0.139814
0.00677533	 1.8806e-12	 1.428e-12	 4.526e-13	 0.136795
0.00762216	 1.8838e-12	 1.44e-12	 4.438e-13	 0.133522
0.00846895	 1.867e-12	 1.4291e-12	 4.379e-13	 0.132854
0.00931568	 1.829e-12	 1.4025e-12	 4.265e-13	 0.131982
0.0101623	 1.7549e-12	 1.3539e-12	 4.01e-13	 0.128989
0.0110089	 1.6609e-12	 1.2881e-12	 3.728e-13	 0.126416
0.0118555	 1.5248e-12	 1.2162e-12	 3.086e-13	 0.112587
0.0127019	 1.3489e-12	 1.1453e-12	 2.036e-13	 0.0816294
0.0135482	 1.193e-12	 1.0527e-12	 1.403e-13	 0.062475
0.0143945	 1.0663e-12	 9.649e-13	 1.014e-13	 0.0499212
0.0152407	 9.3854e-13	 8.8723e-13	 5.131e-14	 0.0281032
0.0160867	 8.2936e-13	 8.0264e-13	 2.672e-14	 0.0163725
0.0169327	 7.5956e-13	 7.341e-13	 2.546e-14	 0.0170454
0.0177785	 7.1401e-13	 6.6904e-13	 4.497e-14	 0.0325151
0.0186242	 6.4103e-13	 6.0872e-13	 3.231e-14	 0.0258532
0.0194698	 5.676e-13	 5.4071e-13	 2.689e-14	 0.0242622
0.0203152	 4.9077e-13	 4.6778e-13	 2.299e-14	 0.0239841
0.0211605	 4.1725e-13	 3.9661e-13	 2.064e-14	 0.0253606
0.0220057	 3.4075e-13	 3.2416e-13	 1.659e-14	 0.0249507
0.0228507	 2.7289e-13	 2.5951e-13	 1.338e-14	 0.0251315
0.0236956	 2.1612e-13	 2.0356e-13	 1.256e-14	 0.0299276
0.0245402	 1.6371e-13	 1.5375e-13	 9.96e-15	 0.031374
0.0253848	 1.2117e-13	 1.1399e-13	 7.18e-15	 0.0305324
0.0262291	 8.7353e-14	 8.2013e-14	 5.34e-15	 0.0315294
0.0270733	 6.1247e-14	 5.7529e-14	 3.718e-15	 0.0313026
0.0279173	 4.2258e-14	 3.9854e-14	 2.404e-15	 0.0292771
0.0287611	 2.923e-14	 2.8174e-14	 1.056e-15	 0.0183959
0.0296047	 2.1779e-14	 2.13e-14	 4.79e-16	 0.0111191
0.030448	 1.7651e-14	 1.7737e-14	 -8.6e-17	 -0.0024302
0.0312912	 1.6342e-14	 1.685e-14	 -5.08e-16	 -0.0153049
0.0321342	 1.6809e-14	 1.7662e-14	 -8.53e-16	 -0.0247454
0.032977	 1.7799e-14	 1.8827e-14	 -1.028e-15	 -0.0280675
0.0338195	 1.911e-14	 2.0247e-14	 -1.137e-15	 -0.0288894
0.0346618	 2.0153e-14	 2.1344e-14	 -1.191e-15	 -0.0287009
0.0355038	 2.0343e-14	 2.1504e-14	 -1.161e-15	 -0.0277439
0.0363456	 1.9699e-14	 2.086e-14	 -1.161e-15	 -0.028625
0.0371872	 1.8403e-14	 1.9521e-14	 -1.118e-15	 -0.02948
0.0380285	 1.6577e-14	 1.7628e-14	 -1.051e-15	 -0.0307265
0.0388695	 1.3781e-14	 1.4611e-14	 -8.3e-16	 -0.0292336
0.0397103	 1.1005e-14	 1.1977e-14	 -9.72e-16	 -0.042294
0.0405508	 8.4087e-15	 9.3791e-15	 -9.704e-16	 -0.0545542
0.0413911	 5.919e-15	 6.8949e-15	 -9.759e-16	 -0.0761595
0.042231	 4.2466e-15	 5.2945e-15	 -1.0479e-15	 -0.10983
