Q 	 ICP 	  ICN 	 IXMCDR  
2.47361e-05	 1.697e-12	 3.7752e-13	 1.31948e-12	 0.636041
0.000846708	 6.236e-13	 5.2113e-13	 1.0247e-13	 0.0895146
0.00169375	 1.162e-12	 9.6278e-13	 1.9922e-13	 0.0937603
0.00254078	 1.6011e-12	 1.3293e-12	 2.718e-13	 0.0927518
0.00338779	 1.9572e-12	 1.631e-12	 3.262e-13	 0.0909091
0.00423478	 2.2661e-12	 1.8706e-12	 3.955e-13	 0.0956076
0.00508174	 2.469e-12	 2.0072e-12	 4.618e-13	 0.103168
0.00592844	 2.634e-12	 2.1101e-12	 5.239e-13	 0.110432
0.00677533	 2.6835e-12	 2.1845e-12	 4.99e-13	 0.102506
0.00762216	 2.828e-12	 2.174e-12	 6.54e-13	 0.130748
0.00846895	 2.8607e-12	 2.1421e-12	 7.186e-13	 0.14364
0.00931568	 2.8782e-12	 2.0887e-12	 7.895e-13	 0.158952
0.0101623	 2.8579e-12	 2.0027e-12	 8.552e-13	 0.175945
0.0110089	 2.8076e-12	 1.8888e-12	 9.188e-13	 0.195639
0.0118555	 2.7713e-12	 1.7741e-12	 9.972e-13	 0.219387
0.0127019	 2.7483e-12	 1.6772e-12	 1.0711e-12	 0.242029
0.0135482	 2.6808e-12	 1.5563e-12	 1.1245e-12	 0.265394
0.0143945	 2.6408e-12	 1.4815e-12	 1.1593e-12	 0.281226
0.0152407	 2.6291e-12	 1.459e-12	 1.1701e-12	 0.286221
0.0160867	 2.5511e-12	 1.4389e-12	 1.1122e-12	 0.278747
0.0169327	 2.5111e-12	 1.4334e-12	 1.0777e-12	 0.273216
0.0177785	 2.4427e-12	 1.4544e-12	 9.883e-13	 0.253599
0.0186242	 2.3347e-12	 1.4313e-12	 9.034e-13	 0.239883
0.0194698	 2.2071e-12	 1.397e-12	 8.101e-13	 0.224772
0.0203152	 2.0812e-12	 1.3647e-12	 7.165e-13	 0.207928
0.0211605	 1.9655e-12	 1.3356e-12	 6.299e-13	 0.190815
0.0220057	 1.8182e-12	 1.2822e-12	 5.36e-13	 0.172881
0.0228507	 1.6805e-12	 1.236e-12	 4.445e-13	 0.152409
0.0236956	 1.5578e-12	 1.1901e-12	 3.677e-13	 0.133811
0.0245402	 1.4154e-12	 1.1244e-12	 2.91e-13	 0.114576
0.0253848	 1.2799e-12	 1.0562e-12	 2.237e-13	 0.0957579
0.0262291	 1.1512e-12	 9.8021e-13	 1.7099e-13	 0.0802239
0.0270733	 1.0287e-12	 9.053e-13	 1.234e-13	 0.0638056
0.0279173	 9.0801e-13	 8.1447e-13	 9.354e-14	 0.0543054
0.0287611	 7.9748e-13	 7.2978e-13	 6.77e-14	 0.0443278
0.0296047	 6.9499e-13	 6.4609e-13	 4.89e-14	 0.0364631
0.030448	 5.8668e-13	 5.6066e-13	 2.602e-14	 0.0226785
0.0312912	 4.862e-13	 4.802e-13	 6e-15	 0.00620861
0.0321342	 4.0821e-13	 4.0273e-13	 5.48e-15	 0.00675759
0.032977	 3.3072e-13	 3.2915e-13	 1.57e-15	 0.00237926
0.0338195	 2.6664e-13	 2.6047e-13	 6.17e-15	 0.0117053
0.0346618	 2.1424e-13	 2.1244e-13	 1.8e-15	 0.00421862
0.0355038	 1.6934e-13	 1.68e-13	 1.34e-15	 0.00397225
0.0363456	 1.3366e-13	 1.305e-13	 3.16e-15	 0.0119624
0.0371872	 1.0687e-13	 1.0026e-13	 6.61e-15	 0.0319123
0.0380285	 8.8217e-14	 7.7071e-14	 1.1146e-14	 0.0674338
0.0388695	 7.2664e-14	 5.8315e-14	 1.4349e-14	 0.109552
0.0397103	 6.3607e-14	 4.572e-14	 1.7887e-14	 0.16361
0.0405508	 5.8817e-14	 3.8139e-14	 2.0678e-14	 0.213272
0.0413911	 5.524e-14	 3.3342e-14	 2.1898e-14	 0.247206
0.042231	 5.4857e-14	 3.1991e-14	 2.2866e-14	 0.263288
0.0430707	 5.5392e-14	 3.2816e-14	 2.2576e-14	 0.255941
0.04391	 5.6345e-14	 3.4692e-14	 2.1653e-14	 0.237848
0.0447491	 5.6925e-14	 3.6796e-14	 2.0129e-14	 0.214776
0.0455878	 5.7352e-14	 3.9136e-14	 1.8216e-14	 0.18879
0.0464263	 5.767e-14	 4.1154e-14	 1.6516e-14	 0.167125
0.0472644	 5.5999e-14	 4.1567e-14	 1.4432e-14	 0.14792
0.0481022	 5.4517e-14	 4.1502e-14	 1.3015e-14	 0.135546
0.0489397	 5.1784e-14	 4.0685e-14	 1.1099e-14	 0.120029
0.0497768	 5.0472e-14	 3.7978e-14	 1.2494e-14	 0.141255
0.0506136	 4.8063e-14	 3.5036e-14	 1.3027e-14	 0.156765
0.05145	 4.6142e-14	 3.1564e-14	 1.4578e-14	 0.187605
0.0522861	 4.4442e-14	 2.7497e-14	 1.6945e-14	 0.235547
0.0531219	 4.3065e-14	 2.3156e-14	 1.9909e-14	 0.300645
0.0539572	 4.2413e-14	 1.9534e-14	 2.2879e-14	 0.369332
0.0547922	 4.2546e-14	 1.6188e-14	 2.6358e-14	 0.448769
0.0556269	 4.2373e-14	 1.3139e-14	 2.9234e-14	 0.526625
0.0564617	 4.3077e-14	 1.0904e-14	 3.2173e-14	 0.596006
0.0572955	 4.4803e-14	 9.4071e-15	 3.53959e-14	 0.652939
0.058129	 4.5807e-14	 8.4651e-15	 3.73419e-14	 0.68805
0.058962	 4.6826e-14	 8.257e-15	 3.8569e-14	 0.700198
0.0597947	 4.7364e-14	 8.6788e-15	 3.86852e-14	 0.69028
0.060627	 4.7169e-14	 9.4086e-15	 3.77604e-14	 0.667409
0.0614588	 4.5493e-14	 1.0401e-14	 3.5092e-14	 0.627831
0.0622902	 4.4493e-14	 1.1617e-14	 3.2876e-14	 0.585921
0.0631212	 4.3644e-14	 1.2891e-14	 3.0753e-14	 0.543964
