Q 	 ICP 	  ICN 	 IXMCDR  
2.47361e-05	 1.7149e-11	 1.8029e-11	 -8.8e-13	 -0.0250156
0.000846708	 1.5405e-12	 1.6173e-12	 -7.68e-14	 -0.0243207
0.00169375	 3.1345e-12	 3.2726e-12	 -1.381e-13	 -0.0215542
0.00254078	 4.6408e-12	 4.8498e-12	 -2.09e-13	 -0.0220218
0.00338779	 6.1084e-12	 6.3722e-12	 -2.638e-13	 -0.0211368
0.00423478	 7.2052e-12	 7.7061e-12	 -5.009e-13	 -0.033592
0.00508174	 8.4976e-12	 9.0365e-12	 -5.389e-13	 -0.0307344
0.00592844	 9.4689e-12	 1.0194e-11	 -7.251e-13	 -0.0368766
0.00677533	 1.0362e-11	 1.1238e-11	 -8.76e-13	 -0.0405556
0.00762216	 1.057e-11	 1.1978e-11	 -1.408e-12	 -0.0624446
0.00846895	 1.063e-11	 1.2402e-11	 -1.772e-12	 -0.0769364
0.00931568	 1.0678e-11	 1.2631e-11	 -1.953e-12	 -0.0837874
0.0101623	 1.0393e-11	 1.2403e-11	 -2.01e-12	 -0.0881734
0.0110089	 1.0023e-11	 1.1853e-11	 -1.83e-12	 -0.0836533
0.0118555	 9.7904e-12	 1.1437e-11	 -1.6466e-12	 -0.0775696
0.0127019	 9.7819e-12	 1.1288e-11	 -1.5061e-12	 -0.0714811
0.0135482	 9.3916e-12	 1.0511e-11	 -1.1194e-12	 -0.0562439
0.0143945	 9.2489e-12	 1.0129e-11	 -8.801e-13	 -0.0454177
0.0152407	 9.2181e-12	 9.9388e-12	 -7.207e-13	 -0.0376209
0.0160867	 8.8019e-12	 9.4516e-12	 -6.497e-13	 -0.0355932
0.0169327	 8.6687e-12	 9.2173e-12	 -5.486e-13	 -0.030672
0.0177785	 8.2011e-12	 8.7144e-12	 -5.133e-13	 -0.0303449
0.0186242	 7.5567e-12	 8.0201e-12	 -4.634e-13	 -0.0297494
0.0194698	 6.7384e-12	 7.1585e-12	 -4.201e-13	 -0.0302298
0.0203152	 5.8556e-12	 6.2198e-12	 -3.642e-13	 -0.0301605
0.0211605	 5e-12	 5.3085e-12	 -3.085e-13	 -0.0299268
0.0220057	 4.0779e-12	 4.3508e-12	 -2.729e-13	 -0.0323775
0.0228507	 3.2872e-12	 3.511e-12	 -2.238e-13	 -0.0329205
0.0236956	 2.6054e-12	 2.7838e-12	 -1.784e-13	 -0.0331032
0.0245402	 1.9977e-12	 2.1343e-12	 -1.366e-13	 -0.0330591
0.0253848	 1.4966e-12	 1.5973e-12	 -1.007e-13	 -0.0325479
0.0262291	 1.1086e-12	 1.1789e-12	 -7.03e-14	 -0.0307322
0.0270733	 7.9223e-13	 8.3851e-13	 -4.628e-14	 -0.0283798
0.0279173	 5.509e-13	 5.8076e-13	 -2.986e-14	 -0.026386
0.0287611	 3.7343e-13	 3.9143e-13	 -1.8e-14	 -0.0235337
0.0296047	 2.4821e-13	 2.5839e-13	 -1.018e-14	 -0.0200947
0.030448	 1.6174e-13	 1.666e-13	 -4.86e-15	 -0.0148017
0.0312912	 1.0866e-13	 1.0962e-13	 -9.6e-16	 -0.00439802
0.0321342	 7.8279e-14	 7.692e-14	 1.359e-15	 0.0087565
0.032977	 6.3163e-14	 6.0935e-14	 2.228e-15	 0.0179536
0.0338195	 5.9379e-14	 5.6571e-14	 2.808e-15	 0.0242173
0.0346618	 6.1757e-14	 5.9236e-14	 2.521e-15	 0.0208359
0.0355038	 6.6953e-14	 6.4956e-14	 1.997e-15	 0.0151392
0.0363456	 7.286e-14	 7.1767e-14	 1.093e-15	 0.00755737
0.0371872	 7.8182e-14	 7.7716e-14	 4.66e-16	 0.00298913
0.0380285	 8.2279e-14	 8.2361e-14	 -8.2e-17	 -0.000498056
0.0388695	 8.3109e-14	 8.3962e-14	 -8.53e-16	 -0.00510561
0.0397103	 8.2261e-14	 8.3474e-14	 -1.213e-15	 -0.00731891
0.0405508	 7.9703e-14	 8.1135e-14	 -1.432e-15	 -0.00890337
0.0413911	 7.4455e-14	 7.6099e-14	 -1.644e-15	 -0.0109197
0.042231	 6.83e-14	 6.9769e-14	 -1.469e-15	 -0.0106396
0.0430707	 6.1163e-14	 6.2471e-14	 -1.308e-15	 -0.0105796
0.04391	 5.3187e-14	 5.4308e-14	 -1.121e-15	 -0.0104284
0.0447491	 4.4935e-14	 4.5853e-14	 -9.18e-16	 -0.0101115
0.0455878	 3.6976e-14	 3.7648e-14	 -6.72e-16	 -0.00900515
0.0464263	 2.9561e-14	 2.9935e-14	 -3.74e-16	 -0.00628614
0.0472644	 2.2532e-14	 2.2675e-14	 -1.43e-16	 -0.00316323
0.0481022	 1.6513e-14	 1.6457e-14	 5.6e-17	 0.00169851
0.0489397	 1.1757e-14	 1.1524e-14	 2.33e-16	 0.0100082
0.0497768	 7.9626e-15	 7.6683e-15	 2.943e-16	 0.0188281
0.0506136	 5.343e-15	 5.0596e-15	 2.834e-16	 0.0272432
0.05145	 3.8184e-15	 3.6083e-15	 2.101e-16	 0.0282898
0.0522861	 3.2724e-15	 3.1981e-15	 7.43e-17	 0.0114829
0.0531219	 3.5821e-15	 3.6818e-15	 -9.97e-17	 -0.0137254
