Q 	 ICP 	  ICN 	 IXMCDR  
2.47361e-05	 6.488e-15	 1.5097e-14	 -8.609e-15	 -0.398842
0.000846708	 3.5679e-13	 4.3094e-13	 -7.415e-14	 -0.0941312
0.00169375	 6.9907e-13	 8.3129e-13	 -1.3222e-13	 -0.086398
0.00254078	 1.0011e-12	 1.1907e-12	 -1.896e-13	 -0.0865042
0.00338779	 1.2318e-12	 1.4475e-12	 -2.157e-13	 -0.0805061
0.00423478	 1.3884e-12	 1.6848e-12	 -2.964e-13	 -0.0964467
0.00508174	 1.533e-12	 1.8285e-12	 -2.955e-13	 -0.0879072
0.00592844	 1.6275e-12	 1.9452e-12	 -3.177e-13	 -0.0889243
0.00677533	 1.698e-12	 2.0372e-12	 -3.392e-13	 -0.0908117
0.00762216	 1.7111e-12	 2.0632e-12	 -3.521e-13	 -0.0932888
0.00846895	 1.7102e-12	 2.0689e-12	 -3.587e-13	 -0.0949168
0.00931568	 1.6943e-12	 2.0598e-12	 -3.655e-13	 -0.0973602
0.0101623	 1.6564e-12	 2.0237e-12	 -3.673e-13	 -0.0998071
0.0110089	 1.6042e-12	 1.9714e-12	 -3.672e-13	 -0.102696
0.0118555	 1.5472e-12	 1.9132e-12	 -3.66e-13	 -0.105768
0.0127019	 1.5118e-12	 1.8695e-12	 -3.577e-13	 -0.105788
0.0135482	 1.4602e-12	 1.8016e-12	 -3.414e-13	 -0.104666
0.0143945	 1.4383e-12	 1.7681e-12	 -3.298e-13	 -0.102857
0.0152407	 1.4453e-12	 1.7582e-12	 -3.129e-13	 -0.0976744
0.0160867	 1.4345e-12	 1.72e-12	 -2.855e-13	 -0.0905056
0.0169327	 1.4184e-12	 1.6843e-12	 -2.659e-13	 -0.0856996
0.0177785	 1.4225e-12	 1.6375e-12	 -2.15e-13	 -0.0702614
0.0186242	 1.3864e-12	 1.5847e-12	 -1.983e-13	 -0.066743
0.0194698	 1.3495e-12	 1.5148e-12	 -1.653e-13	 -0.0577104
0.0203152	 1.296e-12	 1.4438e-12	 -1.478e-13	 -0.0539455
0.0211605	 1.2453e-12	 1.3766e-12	 -1.313e-13	 -0.0500782
0.0220057	 1.1728e-12	 1.29e-12	 -1.172e-13	 -0.0475881
0.0228507	 1.1055e-12	 1.2085e-12	 -1.03e-13	 -0.0445117
0.0236956	 1.0405e-12	 1.1311e-12	 -9.06e-14	 -0.0417204
0.0245402	 9.5984e-13	 1.0384e-12	 -7.856e-14	 -0.0393146
0.0253848	 8.8146e-13	 9.7139e-13	 -8.993e-14	 -0.048536
0.0262291	 8.0359e-13	 8.8335e-13	 -7.976e-14	 -0.0472809
0.0270733	 7.2292e-13	 7.9189e-13	 -6.897e-14	 -0.0455305
0.0279173	 6.4159e-13	 7.0249e-13	 -6.09e-14	 -0.0453098
0.0287611	 5.6213e-13	 6.1606e-13	 -5.393e-14	 -0.0457736
0.0296047	 4.8861e-13	 5.3531e-13	 -4.67e-14	 -0.045609
0.030448	 4.1298e-13	 4.5433e-13	 -4.135e-14	 -0.0476761
0.0312912	 3.4524e-13	 3.8219e-13	 -3.695e-14	 -0.0507953
0.0321342	 2.8568e-13	 3.1904e-13	 -3.336e-14	 -0.055166
0.032977	 2.2739e-13	 2.5681e-13	 -2.942e-14	 -0.06076
0.0338195	 1.8086e-13	 2.0768e-13	 -2.682e-14	 -0.0690276
0.0346618	 1.4065e-13	 1.651e-13	 -2.445e-14	 -0.0799673
0.0355038	 1.0625e-13	 1.2866e-13	 -2.241e-14	 -0.0953982
0.0363456	 7.8512e-14	 9.9008e-14	 -2.0496e-14	 -0.115457
0.0371872	 5.7533e-14	 7.6513e-14	 -1.898e-14	 -0.141593
