Q 	 ICP 	  ICN 	 IXMCDR  
2.47361e-05	 1.1598e-14	 6.8048e-15	 4.7932e-15	 0.26046
0.000846708	 3.0439e-13	 2.8376e-13	 2.063e-14	 0.0350761
0.00169375	 6.3793e-13	 5.8943e-13	 4.85e-14	 0.0395157
0.00254078	 9.5434e-13	 8.8845e-13	 6.589e-14	 0.0357556
0.00338779	 1.2795e-12	 1.1899e-12	 8.96e-14	 0.0362841
0.00423478	 1.5866e-12	 1.4807e-12	 1.059e-13	 0.0345255
0.00508174	 1.8302e-12	 1.7233e-12	 1.069e-13	 0.030083
0.00592844	 2.0973e-12	 1.9448e-12	 1.525e-13	 0.0377279
0.00677533	 2.3495e-12	 2.1936e-12	 1.559e-13	 0.0343158
0.00762216	 2.5527e-12	 2.3839e-12	 1.688e-13	 0.0341936
0.00846895	 2.7421e-12	 2.5628e-12	 1.793e-13	 0.0337989
0.00931568	 2.9181e-12	 2.7319e-12	 1.862e-13	 0.0329558
0.0101623	 3.0616e-12	 2.8712e-12	 1.904e-13	 0.0320928
0.0110089	 3.1798e-12	 2.9819e-12	 1.979e-13	 0.0321178
0.0118555	 3.2821e-12	 3.075e-12	 2.071e-13	 0.0325777
0.0127019	 3.3803e-12	 3.1678e-12	 2.125e-13	 0.0324522
0.0135482	 3.4e-12	 3.1872e-12	 2.128e-13	 0.0323051
0.0143945	 3.4035e-12	 3.1999e-12	 2.036e-13	 0.0308326
0.0152407	 3.4057e-12	 3.1942e-12	 2.115e-13	 0.0320459
0.0160867	 3.3366e-12	 3.1339e-12	 2.027e-13	 0.0313268
0.0169327	 3.2438e-12	 3.0444e-12	 1.994e-13	 0.0317102
0.0177785	 3.1115e-12	 2.9493e-12	 1.622e-13	 0.0267621
0.0186242	 2.9518e-12	 2.8449e-12	 1.069e-13	 0.0184415
0.0194698	 2.673e-12	 2.5833e-12	 8.97e-14	 0.0170652
0.0203152	 2.3653e-12	 2.2781e-12	 8.72e-14	 0.0187793
0.0211605	 2.0782e-12	 1.9758e-12	 1.024e-13	 0.025259
0.0220057	 1.7118e-12	 1.6267e-12	 8.51e-14	 0.0254905
0.0228507	 1.3839e-12	 1.3164e-12	 6.75e-14	 0.0249972
0.0236956	 1.1003e-12	 1.0452e-12	 5.51e-14	 0.0256817
0.0245402	 8.4298e-13	 8.0174e-13	 4.124e-14	 0.0250742
0.0253848	 6.3119e-13	 5.9956e-13	 3.163e-14	 0.0256998
0.0262291	 4.6097e-13	 4.375e-13	 2.347e-14	 0.0261222
0.0270733	 3.2405e-13	 3.0731e-13	 1.674e-14	 0.0265142
0.0279173	 2.2254e-13	 2.1064e-13	 1.19e-14	 0.0274713
0.0287611	 1.4745e-13	 1.3926e-13	 8.19e-15	 0.0285654
0.0296047	 9.5123e-14	 8.9703e-14	 5.42e-15	 0.0293249
0.030448	 5.9714e-14	 5.6065e-14	 3.649e-15	 0.0315169
0.0312912	 3.8386e-14	 3.5943e-14	 2.443e-15	 0.0328674
0.0321342	 2.6397e-14	 2.4718e-14	 1.679e-15	 0.0328475
0.032977	 2.194e-14	 2.048e-14	 1.46e-15	 0.0344177
0.0338195	 2.1343e-14	 1.9971e-14	 1.372e-15	 0.0332091
0.0346618	 2.3178e-14	 2.1805e-14	 1.373e-15	 0.0305226
