Q 	 ICP 	  ICN 	 IXMCDR  
2.47361e-05	 2.817e-11	 2.7216e-11	 9.54e-13	 0.0172246
0.000846708	 2.2902e-12	 2.2253e-12	 6.49e-14	 0.0143727
0.00169375	 4.3194e-12	 4.1813e-12	 1.381e-13	 0.0162457
0.00254078	 6.0753e-12	 5.8063e-12	 2.69e-13	 0.02264
0.00338779	 7.5116e-12	 7.1043e-12	 4.073e-13	 0.0278669
0.00423478	 8.6809e-12	 8.1009e-12	 5.8e-13	 0.0345613
0.00508174	 9.6244e-12	 8.7986e-12	 8.258e-13	 0.0448244
0.00592844	 1.0316e-11	 9.2209e-12	 1.0951e-12	 0.0560529
0.00677533	 1.0786e-11	 9.4549e-12	 1.3311e-12	 0.0657629
0.00762216	 1.1121e-11	 9.3781e-12	 1.7429e-12	 0.0850232
0.00846895	 1.126e-11	 9.148e-12	 2.112e-12	 0.103489
0.00931568	 1.1232e-11	 8.8153e-12	 2.4167e-12	 0.12055
0.0101623	 1.1075e-11	 8.3031e-12	 2.7719e-12	 0.143043
0.0110089	 1.0791e-11	 7.7034e-12	 3.0876e-12	 0.166948
0.0118555	 1.0404e-11	 7.1074e-12	 3.2966e-12	 0.188255
0.0127019	 9.9386e-12	 6.5354e-12	 3.4032e-12	 0.20658
0.0135482	 9.4855e-12	 5.8936e-12	 3.5919e-12	 0.233557
0.0143945	 9.0069e-12	 5.341e-12	 3.6659e-12	 0.255501
0.0152407	 8.497e-12	 5.0127e-12	 3.4843e-12	 0.257911
0.0160867	 8.0055e-12	 4.6453e-12	 3.3602e-12	 0.265612
0.0169327	 7.4678e-12	 4.4247e-12	 3.0431e-12	 0.255884
0.0177785	 6.9253e-12	 4.14e-12	 2.7853e-12	 0.251715
0.0186242	 6.4095e-12	 3.8853e-12	 2.5242e-12	 0.245192
0.0194698	 5.9221e-12	 3.6441e-12	 2.278e-12	 0.23813
0.0203152	 5.4478e-12	 3.4274e-12	 2.0204e-12	 0.227646
0.0211605	 4.9741e-12	 3.2169e-12	 1.7572e-12	 0.214528
0.0220057	 4.5568e-12	 2.9852e-12	 1.5716e-12	 0.20838
0.0228507	 4.1403e-12	 2.7971e-12	 1.3432e-12	 0.193617
