Q 	 ICP 	  ICN 	 IXMCDR  
0.0664408	 6.1372e-14	 5.8139e-14	 3.233e-15	 0.0270519
0.0672695	 5.2668e-14	 4.5186e-14	 7.482e-15	 0.0764608
0.0680978	 4.6089e-14	 3.468e-14	 1.1409e-14	 0.141255
0.0689257	 4.1864e-14	 2.676e-14	 1.5104e-14	 0.220098
0.069753	 3.9971e-14	 2.1544e-14	 1.8427e-14	 0.299553
0.0705799	 4.0315e-14	 1.8922e-14	 2.1393e-14	 0.361143
0.0714063	 4.2755e-14	 1.8741e-14	 2.4014e-14	 0.390497
0.0722323	 4.7032e-14	 2.0745e-14	 2.6287e-14	 0.387845
0.0730577	 5.283e-14	 2.4614e-14	 2.8216e-14	 0.364341
0.0738826	 5.9842e-14	 2.9973e-14	 2.9869e-14	 0.332561
0.074707	 6.7653e-14	 3.6451e-14	 3.1202e-14	 0.29972
0.0755309	 7.587e-14	 4.3605e-14	 3.2265e-14	 0.270056
0.0763543	 8.4073e-14	 5.1016e-14	 3.3057e-14	 0.244705
0.0771772	 9.1886e-14	 5.8316e-14	 3.357e-14	 0.223499
0.0779995	 9.9024e-14	 6.5137e-14	 3.3887e-14	 0.206425
0.0788213	 1.0511e-13	 7.1141e-14	 3.3969e-14	 0.192731
0.0796425	 1.0996e-13	 7.6121e-14	 3.3839e-14	 0.181851
0.0804633	 1.1339e-13	 7.985e-14	 3.354e-14	 0.173567
0.0812834	 1.1523e-13	 8.222e-14	 3.301e-14	 0.167182
0.082103	 1.1543e-13	 8.315e-14	 3.228e-14	 0.162554
0.0829221	 1.1406e-13	 8.2695e-14	 3.1365e-14	 0.159411
0.0837405	 1.111e-13	 8.0829e-14	 3.0271e-14	 0.15772
0.0845584	 1.067e-13	 7.7729e-14	 2.8971e-14	 0.157085
0.0853757	 1.0103e-13	 7.3467e-14	 2.7563e-14	 0.157957
0.0861925	 9.4278e-14	 6.8319e-14	 2.5959e-14	 0.159652
0.0870086	 8.6699e-14	 6.2429e-14	 2.427e-14	 0.162746
0.0878242	 7.8471e-14	 5.6012e-14	 2.2459e-14	 0.167003
0.0886391	 6.9876e-14	 4.9315e-14	 2.0561e-14	 0.172505
0.0894535	 6.1174e-14	 4.2509e-14	 1.8665e-14	 0.18002
0.0902672	 5.2534e-14	 3.5834e-14	 1.67e-14	 0.188982
0.0910803	 4.4227e-14	 2.9426e-14	 1.4801e-14	 0.200956
0.0918928	 3.6401e-14	 2.3472e-14	 1.2929e-14	 0.21594
0.0927046	 2.9179e-14	 1.8086e-14	 1.1093e-14	 0.234698
0.0935158	 2.2762e-14	 1.3386e-14	 9.376e-15	 0.259378
0.0943264	 1.7209e-14	 9.3907e-15	 7.8183e-15	 0.293924
0.0951363	 1.2553e-14	 6.1455e-15	 6.4075e-15	 0.342675
0.0959456	 8.8185e-15	 3.6496e-15	 5.1689e-15	 0.41457
0.0967542	 5.9923e-15	 1.8772e-15	 4.1151e-15	 0.522918
0.0975622	 4.034e-15	 7.516e-16	 3.2824e-15	 0.685891
0.0983695	 2.7721e-15	 2.838e-16	 2.4883e-15	 0.814261
0.0991761	 2.3543e-15	 3.2227e-16	 2.03203e-15	 0.759192
0.099982	 2.5428e-15	 7.7844e-16	 1.76436e-15	 0.531235
0.100787	 3.3557e-15	 1.5579e-15	 1.7978e-15	 0.365882
0.101592	 4.4811e-15	 2.5626e-15	 1.9185e-15	 0.272371
0.102396	 5.9105e-15	 3.8541e-15	 2.0564e-15	 0.210597
0.103199	 7.5314e-15	 5.1118e-15	 2.4196e-15	 0.191376
0.104001	 9.2499e-15	 6.3826e-15	 2.8673e-15	 0.183419
0.104803	 1.0976e-14	 7.5524e-15	 3.4236e-15	 0.184776
0.105604	 1.263e-14	 8.6476e-15	 3.9824e-15	 0.187164
0.106404	 1.4155e-14	 9.6198e-15	 4.5352e-15	 0.190757
0.107204	 1.5492e-14	 1.0354e-14	 5.138e-15	 0.198793
0.108003	 1.6608e-14	 1.091e-14	 5.698e-15	 0.207064
0.108801	 1.7494e-14	 1.1304e-14	 6.19e-15	 0.214945
0.109598	 1.8125e-14	 1.1488e-14	 6.637e-15	 0.224125
0.110395	 1.8505e-14	 1.1508e-14	 6.997e-15	 0.233132
0.111191	 1.8648e-14	 1.1385e-14	 7.263e-15	 0.241834
0.111986	 1.8569e-14	 1.1149e-14	 7.42e-15	 0.24968
0.11278	 1.8287e-14	 1.0764e-14	 7.523e-15	 0.258958
0.113574	 1.7838e-14	 1.0318e-14	 7.52e-15	 0.267083
0.114366	 1.723e-14	 9.8369e-15	 7.3931e-15	 0.273142
0.115158	 1.651e-14	 9.281e-15	 7.229e-15	 0.280292
0.115949	 1.5691e-14	 8.7393e-15	 6.9517e-15	 0.284552
0.11674	 1.4804e-14	 8.2019e-15	 6.6021e-15	 0.286974
0.117529	 1.388e-14	 7.6722e-15	 6.2078e-15	 0.288036
0.118318	 1.293e-14	 7.1561e-15	 5.7739e-15	 0.287457
0.119106	 1.1972e-14	 6.6826e-15	 5.2894e-15	 0.283544
0.119893	 1.1023e-14	 6.2641e-15	 4.7589e-15	 0.275286
0.12068	 1.0084e-14	 5.8322e-15	 4.2518e-15	 0.267137
0.121465	 9.1788e-15	 5.4473e-15	 3.7315e-15	 0.255126
0.12225	 8.2932e-15	 5.1168e-15	 3.1764e-15	 0.236868
0.123034	 7.4471e-15	 4.7588e-15	 2.6883e-15	 0.220246
0.123817	 6.6347e-15	 4.4196e-15	 2.2151e-15	 0.200384
0.124599	 5.8558e-15	 4.1122e-15	 1.7436e-15	 0.17492
0.12538	 5.1162e-15	 3.791e-15	 1.3252e-15	 0.148779
0.126161	 4.4146e-15	 3.4762e-15	 9.384e-16	 0.118923
0.12694	 3.759e-15	 3.1603e-15	 5.987e-16	 0.0865261
0.127719	 3.0268e-15	 2.8522e-15	 1.746e-16	 0.0296989
0.128497	 2.4813e-15	 2.5186e-15	 -3.73e-17	 -0.00746015
0.129274	 1.9822e-15	 2.2035e-15	 -2.213e-16	 -0.0528705
0.13005	 1.5364e-15	 1.9072e-15	 -3.708e-16	 -0.107678
0.130825	 1.1478e-15	 1.6125e-15	 -4.647e-16	 -0.168351
0.131599	 8.2203e-16	 1.2898e-15	 -4.6777e-16	 -0.2215
0.132372	 5.6281e-16	 1.0667e-15	 -5.0389e-16	 -0.309228
0.133145	 3.754e-16	 8.7091e-16	 -4.9551e-16	 -0.397582
0.133916	 2.6063e-16	 7.1733e-16	 -4.567e-16	 -0.466993
0.134687	 2.2438e-16	 6.1091e-16	 -3.8653e-16	 -0.462749
0.135457	 2.6537e-16	 5.5516e-16	 -2.8979e-16	 -0.353174
0.136226	 3.9317e-16	 5.5165e-16	 -1.5848e-16	 -0.167736
0.136993	 5.8838e-16	 6.0299e-16	 -1.461e-17	 -0.0122632
0.13776	 8.5407e-16	 7.0842e-16	 1.4565e-16	 0.0932166
0.138526	 1.1835e-15	 8.6111e-16	 3.2239e-16	 0.157678
0.139291	 1.5685e-15	 1.0626e-15	 5.059e-16	 0.192277
0.140055	 1.9991e-15	 1.3056e-15	 6.935e-16	 0.209853
0.140818	 2.4647e-15	 1.5787e-15	 8.86e-16	 0.219123
0.141581	 2.9534e-15	 1.8698e-15	 1.0836e-15	 0.224664
0.142342	 3.5908e-15	 2.1924e-15	 1.3984e-15	 0.241804
0.143102	 4.1092e-15	 2.5163e-15	 1.5929e-15	 0.24042
0.143861	 4.6104e-15	 2.8249e-15	 1.7855e-15	 0.240138
0.144619	 5.0827e-15	 3.1258e-15	 1.9569e-15	 0.238399
0.145377	 5.5141e-15	 3.5234e-15	 1.9907e-15	 0.220271
0.146133	 5.8942e-15	 3.7954e-15	 2.0988e-15	 0.216603
0.146888	 6.2118e-15	 4.0144e-15	 2.1974e-15	 0.214879
0.147642	 6.4623e-15	 4.1956e-15	 2.2667e-15	 0.212678
0.148395	 6.6377e-15	 4.306e-15	 2.3317e-15	 0.213063
0.149148	 6.7281e-15	 4.3757e-15	 2.3524e-15	 0.211855
0.149899	 6.7432e-15	 4.39e-15	 2.3532e-15	 0.211368
0.150649	 6.6768e-15	 4.3581e-15	 2.3187e-15	 0.210124
0.151398	 6.5344e-15	 4.2492e-15	 2.2852e-15	 0.211914
0.152146	 6.3233e-15	 4.1083e-15	 2.215e-15	 0.212336
0.152893	 6.044e-15	 3.9319e-15	 2.1121e-15	 0.21172
0.153639	 5.7068e-15	 3.6924e-15	 2.0144e-15	 0.214316
0.154384	 5.3181e-15	 3.4341e-15	 1.884e-15	 0.21526
0.155128	 4.8921e-15	 3.1541e-15	 1.738e-15	 0.216003
0.155871	 4.4376e-15	 2.8488e-15	 1.5888e-15	 0.21805
0.156612	 3.9649e-15	 2.532e-15	 1.4329e-15	 0.220551
0.157353	 3.4855e-15	 2.2228e-15	 1.2627e-15	 0.221204
0.158093	 3.0096e-15	 1.9174e-15	 1.0922e-15	 0.221676
0.158831	 2.547e-15	 1.6148e-15	 9.322e-16	 0.22399
0.159569	 2.1082e-15	 1.3372e-15	 7.71e-16	 0.223777
0.160305	 1.6983e-15	 1.0844e-15	 6.139e-16	 0.220613
0.16104	 1.2754e-15	 8.5246e-16	 4.2294e-16	 0.198763
0.161774	 9.5927e-16	 6.5416e-16	 3.0511e-16	 0.189106
0.162507	 6.8722e-16	 4.671e-16	 2.2012e-16	 0.190692
0.163239	 4.6379e-16	 3.4237e-16	 1.2142e-16	 0.150615
0.16397	 2.8902e-16	 2.4806e-16	 4.096e-17	 0.0762642
0.1647	 1.639e-16	 1.8617e-16	 -2.227e-17	 -0.0636158
0.165428	 9.2657e-17	 1.5604e-16	 -6.3383e-17	 -0.25486
0.166156	 5.5099e-17	 1.5433e-16	 -9.9231e-17	 -0.473817
0.166882	 6.5565e-17	 1.7879e-16	 -1.13225e-16	 -0.463363
0.167607	 1.1401e-16	 2.2666e-16	 -1.1265e-16	 -0.330672
0.168331	 2.0591e-16	 2.9347e-16	 -8.756e-17	 -0.175337
0.169054	 3.0641e-16	 3.7626e-16	 -6.985e-17	 -0.102319
0.169775	 4.5271e-16	 4.7198e-16	 -1.927e-17	 -0.0208394
0.170496	 6.0773e-16	 5.7576e-16	 3.197e-17	 0.0270133
0.171215	 7.7618e-16	 6.8131e-16	 9.487e-17	 0.0650914
0.171933	 9.5097e-16	 7.939e-16	 1.5707e-16	 0.0900182
0.17265	 1.127e-15	 9.0331e-16	 2.2369e-16	 0.110175
0.173366	 1.301e-15	 1.0041e-15	 2.969e-16	 0.128801
0.174081	 1.4683e-15	 1.1284e-15	 3.399e-16	 0.130897
0.174794	 1.6243e-15	 1.15e-15	 4.743e-16	 0.170962
0.175506	 1.7655e-15	 1.2695e-15	 4.96e-16	 0.163427
0.176217	 1.8913e-15	 1.2805e-15	 6.108e-16	 0.192572
0.176927	 1.9985e-15	 1.3811e-15	 6.174e-16	 0.182684
0.177636	 2.0857e-15	 1.4249e-15	 6.608e-16	 0.18823
0.178343	 2.1518e-15	 1.3904e-15	 7.614e-16	 0.214951
0.179049	 2.1953e-15	 1.5085e-15	 6.868e-16	 0.185431
0.179754	 2.2182e-15	 1.4574e-15	 7.608e-16	 0.206987
0.180458	 2.2196e-15	 1.4396e-15	 7.8e-16	 0.213161
0.18116	 2.2041e-15	 1.4318e-15	 7.723e-16	 0.21241
0.181861	 2.1677e-15	 1.3905e-15	 7.772e-16	 0.218425
0.182561	 2.1175e-15	 1.3451e-15	 7.724e-16	 0.223069
0.18326	 2.0481e-15	 1.2968e-15	 7.513e-16	 0.224611
0.183957	 1.9684e-15	 1.2439e-15	 7.245e-16	 0.225539
0.184654	 1.8775e-15	 1.1813e-15	 6.962e-16	 0.227606
0.185348	 1.7758e-15	 1.1149e-15	 6.609e-16	 0.22863
0.186042	 1.6665e-15	 1.0473e-15	 6.192e-16	 0.228167
0.186735	 1.5528e-15	 9.8018e-16	 5.7262e-16	 0.226066
0.187426	 1.4357e-15	 9.067e-16	 5.29e-16	 0.225837
0.188115	 1.3176e-15	 8.3463e-16	 4.8297e-16	 0.224404
0.188804	 1.1985e-15	 7.6631e-16	 4.3219e-16	 0.219965
0.189491	 1.0808e-15	 6.9632e-16	 3.8448e-16	 0.21635
0.190177	 9.6645e-16	 6.2956e-16	 3.3689e-16	 0.211083
0.190862	 8.5637e-16	 5.6687e-16	 2.895e-16	 0.203409
0.191545	 7.519e-16	 5.0589e-16	 2.4601e-16	 0.195589
0.192227	 6.5412e-16	 4.4965e-16	 2.0447e-16	 0.185247
0.192908	 5.6319e-16	 3.9845e-16	 1.6474e-16	 0.171312
0.193587	 4.8048e-16	 3.5248e-16	 1.28e-16	 0.153669
0.194265	 4.0616e-16	 3.0871e-16	 9.745e-17	 0.136318
0.194942	 3.4014e-16	 2.7182e-16	 6.832e-17	 0.111641
0.195617	 2.7771e-16	 2.4007e-16	 3.764e-17	 0.072695
0.196291	 2.3321e-16	 2.1248e-16	 2.073e-17	 0.0465121
0.196964	 1.9505e-16	 1.9128e-16	 3.77e-18	 0.0097585
0.197635	 1.6573e-16	 1.7481e-16	 -9.08e-18	 -0.0266635
0.198305	 1.4493e-16	 1.6406e-16	 -1.913e-17	 -0.0619114
0.198974	 1.3257e-16	 1.5963e-16	 -2.706e-17	 -0.0926078
0.199641	 1.2795e-16	 1.5286e-16	 -2.491e-17	 -0.0887077
0.200307	 1.3091e-16	 1.5583e-16	 -2.492e-17	 -0.086908
0.200971	 1.4062e-16	 1.6262e-16	 -2.2e-17	 -0.0725498
0.201635	 1.5665e-16	 1.7351e-16	 -1.686e-17	 -0.0510661
0.202296	 1.784e-16	 1.8801e-16	 -9.61e-18	 -0.0262275
0.202957	 2.0519e-16	 2.0539e-16	 -2e-19	 -0.000487116
0.203616	 2.3561e-16	 2.2555e-16	 1.006e-17	 0.0218146
0.204273	 2.703e-16	 2.4796e-16	 2.234e-17	 0.0431058
0.204929	 3.0771e-16	 2.7206e-16	 3.565e-17	 0.0614899
0.205584	 3.5419e-16	 2.9663e-16	 5.756e-17	 0.0884423
0.206238	 3.9473e-16	 3.2959e-16	 6.514e-17	 0.0899326
0.20689	 4.3622e-16	 3.5739e-16	 7.883e-17	 0.0993309
0.20754	 4.7709e-16	 3.83e-16	 9.409e-17	 0.109396
0.208189	 5.174e-16	 4.089e-16	 1.085e-16	 0.117133
0.208837	 5.5579e-16	 4.3529e-16	 1.205e-16	 0.121585
0.209483	 5.9204e-16	 4.5636e-16	 1.3568e-16	 0.129416
0.210128	 6.253e-16	 4.7718e-16	 1.4812e-16	 0.134352
0.210771	 6.548e-16	 4.9651e-16	 1.5829e-16	 0.137487
0.211413	 6.8053e-16	 5.1205e-16	 1.6848e-16	 0.141274
0.212054	 7.0319e-16	 5.2388e-16	 1.7931e-16	 0.146129
0.212693	 7.2021e-16	 5.3414e-16	 1.8607e-16	 0.14834
0.21333	 7.3331e-16	 5.4233e-16	 1.9098e-16	 0.149713
0.213967	 7.4085e-16	 5.4276e-16	 1.9809e-16	 0.154323
0.214601	 7.446e-16	 5.4292e-16	 2.0168e-16	 0.156642
0.215234	 7.4337e-16	 5.412e-16	 2.0217e-16	 0.157383
0.215866	 7.3711e-16	 5.3238e-16	 2.0473e-16	 0.161269
0.216496	 7.2652e-16	 5.2269e-16	 2.0383e-16	 0.163167
0.217125	 7.1156e-16	 5.118e-16	 1.9976e-16	 0.163288
0.217752	 6.9369e-16	 4.9612e-16	 1.9757e-16	 0.166052
0.218378	 6.7087e-16	 4.779e-16	 1.9297e-16	 0.16798
0.219002	 6.4516e-16	 4.592e-16	 1.8596e-16	 0.168387
0.219625	 6.1733e-16	 4.392e-16	 1.7813e-16	 0.168599
0.220246	 5.8662e-16	 4.1512e-16	 1.715e-16	 0.171202
0.220866	 5.5443e-16	 3.9116e-16	 1.6327e-16	 0.172665
0.221484	 5.2073e-16	 3.6792e-16	 1.5281e-16	 0.171957
0.222101	 4.8594e-16	 3.4187e-16	 1.4407e-16	 0.174038
0.222716	 4.5092e-16	 3.1787e-16	 1.3305e-16	 0.173064
0.22333	 4.1539e-16	 2.9366e-16	 1.2173e-16	 0.17168
0.223942	 3.805e-16	 2.6907e-16	 1.1143e-16	 0.171544
0.224553	 3.4717e-16	 2.4616e-16	 1.0101e-16	 0.170243
0.225162	 3.1414e-16	 2.2406e-16	 9.008e-17	 0.167373
