Q 	 ICP 	  ICN 	 IXMCDR  
2.47361e-05	 1.9839e-11	 1.5674e-11	 4.165e-12	 0.117281
0.000846708	 1.6911e-12	 1.2877e-12	 4.034e-13	 0.135424
0.00169375	 3.2252e-12	 2.3947e-12	 8.305e-13	 0.147778
0.00254078	 4.5055e-12	 3.1421e-12	 1.3634e-12	 0.178278
0.00338779	 5.5798e-12	 3.8504e-12	 1.7294e-12	 0.18339
0.00423478	 6.4051e-12	 4.2761e-12	 2.129e-12	 0.199322
0.00508174	 7.033e-12	 4.2171e-12	 2.8159e-12	 0.2503
0.00592844	 7.4673e-12	 4.1945e-12	 3.2728e-12	 0.280643
0.00677533	 7.7181e-12	 4.1196e-12	 3.5985e-12	 0.303986
0.00762216	 7.677e-12	 3.7728e-12	 3.9042e-12	 0.340984
0.00846895	 7.3834e-12	 3.4619e-12	 3.9215e-12	 0.361585
0.00931568	 6.9495e-12	 3.2231e-12	 3.7264e-12	 0.366317
0.0101623	 6.3059e-12	 2.9245e-12	 3.3814e-12	 0.366333
0.0110089	 5.568e-12	 2.6335e-12	 2.9345e-12	 0.3578
0.0118555	 5.0041e-12	 2.3575e-12	 2.6466e-12	 0.359514
0.0127019	 4.5427e-12	 2.1096e-12	 2.4331e-12	 0.365753
0.0135482	 3.9262e-12	 1.8064e-12	 2.1198e-12	 0.36978
0.0143945	 3.5097e-12	 1.5541e-12	 1.9556e-12	 0.386192
0.0152407	 3.2166e-12	 1.3485e-12	 1.8681e-12	 0.409213
0.0160867	 2.8598e-12	 1.1514e-12	 1.7084e-12	 0.425907
0.0169327	 2.6928e-12	 1.0351e-12	 1.6577e-12	 0.444674
0.0177785	 2.4472e-12	 9.2699e-13	 1.52021e-12	 0.450541
0.0186242	 2.1918e-12	 8.2514e-13	 1.36666e-12	 0.452995
0.0194698	 1.9018e-12	 7.1052e-13	 1.19128e-12	 0.456024
0.0203152	 1.6448e-12	 5.8621e-13	 1.05859e-12	 0.474489
0.0211605	 1.382e-12	 4.7998e-13	 9.0202e-13	 0.484441
0.0220057	 1.1727e-12	 3.6986e-13	 8.0284e-13	 0.520459
0.0228507	 9.7066e-13	 2.7697e-13	 6.9369e-13	 0.556006
0.0236956	 7.9685e-13	 2.0032e-13	 5.9653e-13	 0.598223
0.0245402	 6.3584e-13	 1.3803e-13	 4.9781e-13	 0.643273
0.0253848	 5.0303e-13	 9.32e-14	 4.0983e-13	 0.687369
0.0262291	 3.9348e-13	 6.4419e-14	 3.29061e-13	 0.718632
0.0270733	 3.0262e-13	 4.8895e-14	 2.53725e-13	 0.721804
0.0279173	 2.301e-13	 4.5972e-14	 1.84128e-13	 0.666956
0.0287611	 1.745e-13	 5.1672e-14	 1.22828e-13	 0.543073
0.0296047	 1.3128e-13	 6.073e-14	 7.055e-14	 0.367429
0.030448	 1.0175e-13	 7.7835e-14	 2.3915e-14	 0.133168
0.0312912	 7.9419e-14	 9.3563e-14	 -1.4144e-14	 -0.0817657
0.0321342	 6.3825e-14	 1.0994e-13	 -4.6115e-14	 -0.265387
0.032977	 5.2489e-14	 1.2053e-13	 -6.8041e-14	 -0.393257
0.0338195	 4.4488e-14	 1.2929e-13	 -8.4802e-14	 -0.48799
0.0346618	 3.8481e-14	 1.3415e-13	 -9.5669e-14	 -0.554182
0.0355038	 3.3379e-14	 1.3363e-13	 -1.00251e-13	 -0.600273
0.0363456	 2.8803e-14	 1.31e-13	 -1.02197e-13	 -0.639519
0.0371872	 2.4378e-14	 1.2334e-13	 -9.8962e-14	 -0.669939
0.0380285	 2.0035e-14	 1.1321e-13	 -9.3175e-14	 -0.699276
0.0388695	 1.5546e-14	 9.8481e-14	 -8.2935e-14	 -0.727328
0.0397103	 1.164e-14	 8.338e-14	 -7.174e-14	 -0.754999
0.0405508	 8.2804e-15	 6.9069e-14	 -6.07886e-14	 -0.785896
0.0413911	 5.8273e-15	 5.4522e-14	 -4.86947e-14	 -0.806881
0.042231	 4.7624e-15	 4.2573e-14	 -3.78106e-14	 -0.798781
0.0430707	 5.428e-15	 3.3647e-14	 -2.8219e-14	 -0.722175
0.04391	 7.9998e-15	 2.7737e-14	 -1.97372e-14	 -0.552293
