Energy CP 	 ICP 	 Energy CN 	 ICN 	 FLH 	 FLV 	 IXMCD 	 FXMCD 	 IXMCDR 	 FXMCDR 
765.274038	 0.001187	 764.910606	 0.001838	 0.000000	 0.000000	 -0.000651	 0.000000	 -0.215233	 nan
765.527818	 0.001101	 765.156781	 0.001758	 0.000000	 0.000000	 -0.000657	 0.000000	 -0.229773	 nan
765.714134	 0.001032	 765.347030	 0.001681	 0.000000	 0.000000	 -0.000649	 0.000000	 -0.239133	 nan
765.895517	 0.000935	 765.532173	 0.001607	 0.000000	 0.000000	 -0.000672	 0.000000	 -0.264157	 nan
766.077894	 0.000850	 765.712506	 0.001520	 0.000000	 0.000000	 -0.000670	 0.000000	 -0.282733	 nan
766.276772	 0.000779	 765.888626	 0.001471	 0.000000	 0.000000	 -0.000692	 0.000000	 -0.307640	 nan
766.476237	 0.000695	 766.063313	 0.001383	 0.000000	 0.000000	 -0.000688	 0.000000	 -0.331087	 nan
766.666467	 0.000626	 766.250738	 0.001295	 0.000000	 0.000000	 -0.000668	 0.000000	 -0.347861	 nan
766.844476	 0.000542	 766.448919	 0.001222	 0.000000	 0.000000	 -0.000680	 0.000000	 -0.385276	 nan
767.032520	 0.000486	 766.649507	 0.001158	 0.000000	 0.000000	 -0.000672	 0.000000	 -0.408790	 nan
767.224360	 0.000402	 766.842009	 0.001071	 0.000000	 0.000000	 -0.000669	 0.000000	 -0.453825	 nan
767.426683	 0.000347	 767.027870	 0.000998	 0.000000	 0.000000	 -0.000651	 0.000000	 -0.483606	 nan
767.636286	 0.000264	 767.219527	 0.000926	 0.000000	 0.000000	 -0.000662	 0.000000	 -0.556390	 nan
767.842718	 0.000208	 767.426834	 0.000845	 0.000000	 0.000000	 -0.000637	 0.000000	 -0.604846	 nan
768.041166	 0.000152	 767.635953	 0.000758	 0.000000	 0.000000	 -0.000606	 0.000000	 -0.665329	 nan
768.231984	 0.000097	 767.859843	 0.000700	 0.000000	 0.000000	 -0.000603	 0.000000	 -0.756614	 nan
768.420947	 0.000069	 768.072909	 0.000615	 0.000000	 0.000000	 -0.000546	 0.000000	 -0.797237	 nan
768.626029	 0.000042	 768.260822	 0.000562	 0.000000	 0.000000	 -0.000520	 0.000000	 -0.862192	 nan
768.836403	 0.000000	 768.448644	 0.000505	 0.000000	 0.000000	 -0.000505	 0.000000	 -1.000000	 nan
769.043170	 0.000000	 768.641128	 0.000448	 0.000000	 0.000000	 -0.000448	 0.000000	 -1.000000	 nan
769.241868	 0.000014	 768.838647	 0.000377	 0.000000	 0.000000	 -0.000363	 0.000000	 -0.929179	 nan
769.432239	 0.000028	 769.049384	 0.000351	 0.000000	 0.000000	 -0.000323	 0.000000	 -0.853976	 nan
769.623192	 0.000069	 769.247354	 0.000308	 0.000000	 0.000000	 -0.000239	 0.000000	 -0.634058	 nan
769.821820	 0.000124	 769.438342	 0.000279	 0.000000	 0.000000	 -0.000155	 0.000000	 -0.384406	 nan
770.023302	 0.000235	 769.627529	 0.000251	 0.000000	 0.000000	 -0.000016	 0.000000	 -0.033336	 nan
770.225255	 0.000345	 769.814852	 0.000252	 0.000000	 0.000000	 0.000093	 0.000000	 0.156056	 nan
770.420334	 0.000482	 770.012358	 0.000265	 0.000000	 0.000000	 0.000217	 0.000000	 0.290028	 nan
770.611590	 0.000661	 770.219999	 0.000265	 0.000000	 0.000000	 0.000396	 0.000000	 0.427939	 nan
770.792889	 0.000897	 770.420098	 0.000320	 0.000000	 0.000000	 0.000577	 0.000000	 0.474127	 nan
770.982489	 0.001171	 770.613624	 0.000375	 0.000000	 0.000000	 0.000796	 0.000000	 0.514881	 nan
771.171507	 0.001527	 770.800565	 0.000459	 0.000000	 0.000000	 0.001068	 0.000000	 0.537815	 nan
771.369945	 0.001951	 770.987412	 0.000584	 0.000000	 0.000000	 0.001367	 0.000000	 0.539177	 nan
771.564616	 0.002434	 771.179440	 0.000722	 0.000000	 0.000000	 0.001713	 0.000000	 0.542559	 nan
771.747343	 0.002969	 771.375615	 0.000901	 0.000000	 0.000000	 0.002068	 0.000000	 0.534390	 nan
771.918294	 0.003624	 771.567098	 0.001149	 0.000000	 0.000000	 0.002475	 0.000000	 0.518476	 nan
772.097128	 0.004430	 771.754498	 0.001403	 0.000000	 0.000000	 0.003028	 0.000000	 0.519057	 nan
