Q 	 ICP 	  ICN 	 IXMCDR  
2.47361e-05	 2.7111e-14	 1.4387e-13	 -1.16759e-13	 -0.682877
0.000846708	 3.2819e-13	 3.8995e-13	 -6.176e-14	 -0.0859999
0.00169375	 6.8264e-13	 8.0338e-13	 -1.2074e-13	 -0.0812506
0.00254078	 1.0386e-12	 1.2174e-12	 -1.788e-13	 -0.0792553
0.00338779	 1.3711e-12	 1.58e-12	 -2.089e-13	 -0.0707872
0.00423478	 1.6993e-12	 1.8847e-12	 -1.854e-13	 -0.0517299
0.00508174	 1.9515e-12	 2.2606e-12	 -3.091e-13	 -0.0733838
0.00592844	 2.24e-12	 2.5662e-12	 -3.262e-13	 -0.0678707
0.00677533	 2.504e-12	 2.8708e-12	 -3.668e-13	 -0.0682444
0.00762216	 2.7297e-12	 3.1054e-12	 -3.757e-13	 -0.0643862
0.00846895	 2.9666e-12	 3.3348e-12	 -3.682e-13	 -0.0584315
0.00931568	 3.1626e-12	 3.5009e-12	 -3.383e-13	 -0.0507691
0.0101623	 3.3164e-12	 3.7235e-12	 -4.071e-13	 -0.0578275
0.0110089	 3.4411e-12	 3.868e-12	 -4.269e-13	 -0.0584066
0.0118555	 3.5254e-12	 4.0018e-12	 -4.764e-13	 -0.0632905
0.0127019	 3.6601e-12	 4.1402e-12	 -4.801e-13	 -0.0615489
0.0135482	 3.6767e-12	 4.1609e-12	 -4.842e-13	 -0.0617791
0.0143945	 3.6794e-12	 4.1709e-12	 -4.915e-13	 -0.0626091
0.0152407	 3.6872e-12	 4.1807e-12	 -4.935e-13	 -0.0627232
0.0160867	 3.6115e-12	 4.0537e-12	 -4.422e-13	 -0.0576893
0.0169327	 3.588e-12	 3.835e-12	 -2.47e-13	 -0.033275
0.0177785	 3.4482e-12	 3.359e-12	 8.92e-14	 0.0131038
0.0186242	 3.2096e-12	 3.1298e-12	 7.98e-14	 0.0125879
0.0194698	 2.9263e-12	 2.8263e-12	 1e-13	 0.0173834
0.0203152	 2.5467e-12	 2.4944e-12	 5.23e-14	 0.0103747
0.0211605	 2.126e-12	 2.1454e-12	 -1.94e-14	 -0.00454184
0.0220057	 1.7208e-12	 1.7817e-12	 -6.09e-14	 -0.0173876
0.0228507	 1.3912e-12	 1.4459e-12	 -5.47e-14	 -0.0192803
0.0236956	 1.108e-12	 1.1523e-12	 -4.43e-14	 -0.0195992
0.0245402	 8.5161e-13	 8.8714e-13	 -3.553e-14	 -0.0204342
0.0253848	 6.3552e-13	 6.6227e-13	 -2.675e-14	 -0.020612
0.0262291	 4.6995e-13	 4.8994e-13	 -1.999e-14	 -0.0208253
0.0270733	 3.3418e-13	 3.4917e-13	 -1.499e-14	 -0.0219361
0.0279173	 2.3051e-13	 2.408e-13	 -1.029e-14	 -0.0218328
0.0287611	 1.5457e-13	 1.6099e-13	 -6.42e-15	 -0.0203448
0.0296047	 1.0123e-13	 1.0472e-13	 -3.49e-15	 -0.0169459
0.030448	 6.454e-14	 6.6058e-14	 -1.518e-15	 -0.0116235
0.0312912	 4.2606e-14	 4.2692e-14	 -8.6e-17	 -0.00100823
0.0321342	 3.0254e-14	 2.9536e-14	 7.18e-16	 0.0120087
0.032977	 2.4373e-14	 2.3261e-14	 1.112e-15	 0.0233447
0.0338195	 2.3139e-14	 2.1851e-14	 1.288e-15	 0.0286286
0.0346618	 2.4579e-14	 2.3318e-14	 1.261e-15	 0.0263273
0.0355038	 2.7082e-14	 2.5879e-14	 1.203e-15	 0.0227148
0.0363456	 2.9655e-14	 2.8653e-14	 1.002e-15	 0.0171846
0.0371872	 3.2019e-14	 3.1185e-14	 8.34e-16	 0.0131954
