photonEnergy	Refl_sample	Phase_Sample	Refl_Monochromator	Phase_Monochromator	ReflSample_cc_ReflMono2	
-10.0	3.294793241e-05	3.33021114681	5.55721060672e-05	3.41483769239	3.45054859092e-05	
-9.98	3.30781231839e-05	3.33020689813	5.57889491786e-05	3.41482642026	3.46835336668e-05	
-9.96	3.32090871555e-05	3.33020263275	5.60070639845e-05	3.41481510433	3.48539127033e-05	
-9.94	3.33408304598e-05	3.33019835056	5.62264604484e-05	3.41480374432	3.5018909009e-05	
-9.92	3.34733592923e-05	3.33019405145	5.64471486317e-05	3.41479234	3.51801943673e-05	
-9.9	3.36066799111e-05	3.33018973534	5.66691386945e-05	3.41478089109	3.53389223288e-05	
-9.88	3.37407986359e-05	3.33018540212	5.68924408976e-05	3.41476939733	3.54959114952e-05	
-9.86	3.38757218501e-05	3.33018105169	5.71170656027e-05	3.41475785846	3.56517547325e-05	
-9.84	3.40114560005e-05	3.33017668393	5.73430232738e-05	3.41474627422	3.58068885755e-05	
-9.82	3.41480075994e-05	3.33017229876	5.75703244789e-05	3.41473464433	3.59616384724e-05	
-9.8	3.42853832239e-05	3.33016789607	5.77989798907e-05	3.41472296852	3.6116248854e-05	
-9.78	3.44235895177e-05	3.33016347575	5.80290002885e-05	3.41471124653	3.62709040227e-05	
-9.76	3.45626331914e-05	3.33015903769	5.82603965585e-05	3.41469947808	3.64257460965e-05	
-9.74	3.47025210238e-05	3.3301545818	5.84931796961e-05	3.41468766289	3.65808958607e-05	
-9.72	3.48432598623e-05	3.33015010795	5.87273608067e-05	3.41467580068	3.67364669355e-05	
-9.7	3.49848566239e-05	3.33014561604	5.89629511067e-05	3.41466389117	3.68925619059e-05	
-9.68	3.51273182956e-05	3.33014110597	5.91999619259e-05	3.41465193408	3.70492659643e-05	
-9.66	3.52706519363e-05	3.33013657762	5.94384047072e-05	3.41463992912	3.72066476847e-05	
-9.64	3.5414864677e-05	3.33013203088	5.96782910102e-05	3.414627876	3.73647627948e-05	
-9.62	3.55599637212e-05	3.33012746564	5.99196325105e-05	3.41461577444	3.75236575137e-05	
