Temperature 	 Sum 	  Maxval 	 R 
401.72	 3.17752e+09	 3032	 0.722027
401.6	 3.17793e+09	 2493	 0.721354
401.51	 3.1775e+09	 3090	 0.721235
401.39	 3.17807e+09	 3190	 0.722209
401.27	 3.17792e+09	 2729	 0.721649
401.18	 3.1767e+09	 2959	 0.722712
401.06	 3.17749e+09	 2797	 0.720809
400.97	 3.178e+09	 2860	 0.721728
400.85	 3.17715e+09	 2784	 0.721251
400.73	 3.17643e+09	 2760	 0.722358
400.65	 3.17773e+09	 2601	 0.721464
400.53	 3.17727e+09	 2875	 0.721627
400.44	 3.17722e+09	 3048	 0.72123
400.32	 3.17787e+09	 3757	 0.720998
400.2	 3.17743e+09	 2791	 0.721473
400.05	 3.17839e+09	 2580	 0.72032
399.97	 3.17848e+09	 2810	 0.717885
399.85	 3.17802e+09	 2763	 0.721729
399.76	 3.17794e+09	 2767	 0.721578
399.65	 3.17894e+09	 2632	 0.721444
399.53	 3.17811e+09	 2594	 0.719271
399.44	 3.17649e+09	 2709	 0.72145
399.33	 3.17738e+09	 2753	 0.719983
399.24	 3.17598e+09	 2956	 0.720737
399.13	 3.17472e+09	 2613	 0.721921
399.01	 3.17359e+09	 2936	 0.720731
398.92	 3.17219e+09	 2567	 0.722431
398.81	 3.17113e+09	 2548	 0.720254
398.72	 3.17561e+09	 3009	 0.721623
398.6	 3.17472e+09	 2638	 0.721141
398.49	 3.17477e+09	 2597	 0.722679
398.41	 3.17556e+09	 2848	 0.720759
398.29	 3.17442e+09	 2803	 0.72151
398.21	 3.17382e+09	 2818	 0.720376
398.09	 3.1751e+09	 2949	 0.719587
397.98	 3.17559e+09	 2768	 0.720574
397.89	 3.176e+09	 2993	 0.721904
397.05	 3.17554e+09	 2878	 0.721266
396.97	 3.17571e+09	 3158	 0.719698
396.86	 3.17552e+09	 2956	 0.720118
396.77	 3.1754e+09	 2878	 0.719374
396.66	 3.175e+09	 2719	 0.720275
396.55	 3.17418e+09	 3086	 0.720156
396.47	 3.17501e+09	 2968	 0.719442
396.36	 3.1754e+09	 3188	 0.720274
396.28	 3.17579e+09	 3124	 0.720645
396.17	 3.1781e+09	 2912	 0.722058
396.05	 3.17561e+09	 3139	 0.720526
395.97	 3.17572e+09	 2673	 0.719918
395.86	 3.17284e+09	 2625	 0.720041
395.78	 3.17295e+09	 2896	 0.7194
395.67	 3.17179e+09	 3235	 0.72002
395.56	 3.17103e+09	 2888	 0.72191
395.48	 3.17347e+09	 2766	 0.71929
395.37	 3.17443e+09	 2823	 0.719129
395.29	 3.17127e+09	 2982	 0.720406
395.18	 3.17041e+09	 2831	 0.719343
395.08	 3.17349e+09	 3422	 0.72159
394.99	 3.17327e+09	 3038	 0.719769
394.89	 3.17503e+09	 2726	 0.718056
394.81	 3.17388e+09	 2799	 0.719693
394.7	 3.17376e+09	 3138	 0.719492
394.59	 3.1742e+09	 2968	 0.719488
394.51	 3.17476e+09	 3205	 0.720294
394.4	 3.17146e+09	 2591	 0.719347
394.33	 3.17243e+09	 2751	 0.719605
394.16	 3.1707e+09	 3056	 0.719195
394.09	 3.17139e+09	 3117	 0.71981
393.98	 3.17043e+09	 2827	 0.720514
393.9	 3.16974e+09	 3305	 0.719245
393.79	 3.17099e+09	 2887	 0.719375
393.69	 3.17011e+09	 2980	 0.719692
393.61	 3.17165e+09	 2922	 0.718739
393.5	 3.17275e+09	 2522	 0.718881
393.43	 3.17048e+09	 2934	 0.71973
393.32	 3.17047e+09	 3239	 0.71893
393.22	 3.17061e+09	 2843	 0.721584
393.14	 3.17208e+09	 2907	 0.719421
393.03	 3.17382e+09	 4871	 0.718463
392.96	 3.17157e+09	 2709	 0.719676
392.85	 3.17153e+09	 3219	 0.718245
392.75	 3.16956e+09	 3008	 0.71972
392.67	 3.17197e+09	 2814	 0.71827
392.57	 3.17097e+09	 2735	 0.71979
392.49	 3.17192e+09	 2567	 0.71804
392.39	 3.17284e+09	 2900	 0.718884
392.29	 3.1755e+09	 2978	 0.718381
392.21	 3.17404e+09	 2878	 0.718336
392.1	 3.17316e+09	 2595	 0.718888
392.02	 3.17471e+09	 2915	 0.718107
391.92	 3.17284e+09	 3043	 0.717665
391.82	 3.17329e+09	 2526	 0.717946
391.74	 3.17375e+09	 2662	 0.719706
391.64	 3.1725e+09	 2653	 0.71857
391.57	 3.1744e+09	 3132	 0.719707
391.47	 3.17324e+09	 2891	 0.717713
391.37	 3.17348e+09	 2556	 0.720129
391.29	 3.17038e+09	 2985	 0.717816
391.19	 3.17073e+09	 2772	 0.719013
391.11	 3.17175e+09	 2858	 0.718511
391.01	 3.17286e+09	 2459	 0.71852
390.91	 3.17133e+09	 2800	 0.720151
390.84	 3.17061e+09	 3003	 0.718806
390.74	 3.17067e+09	 2758	 0.717647
390.66	 3.1722e+09	 2698	 0.720078
390.56	 3.17417e+09	 2690	 0.71717
390.46	 3.17627e+09	 2569	 0.719044
390.39	 3.17411e+09	 2761	 0.717824
390.29	 3.17419e+09	 2496	 0.719946
390.19	 3.17177e+09	 2753	 0.717107
390.11	 3.17444e+09	 3015	 0.718071
390.01	 3.1739e+09	 2590	 0.718475
389.94	 3.17252e+09	 2661	 0.71755
389.84	 3.17402e+09	 2323	 0.717408
389.74	 3.17501e+09	 2609	 0.719929
389.67	 3.17232e+09	 2759	 0.717289
389.57	 3.17415e+09	 2377	 0.719568
389.45	 3.17277e+09	 2789	 0.716937
389.37	 3.17217e+09	 2702	 0.718956
389.28	 3.17278e+09	 2542	 0.718538
389.21	 3.17404e+09	 2864	 0.716949
389.11	 3.17259e+09	 2400	 0.716298
389.01	 3.1717e+09	 2490	 0.716686
388.94	 3.17183e+09	 2686	 0.718469
388.84	 3.17214e+09	 2504	 0.71807
388.77	 3.16968e+09	 2667	 0.718623
388.67	 3.17126e+09	 3543	 0.716446
388.58	 3.1717e+09	 2244	 0.716863
388.51	 3.17096e+09	 2419	 0.718049
388.41	 3.17129e+09	 2529	 0.717276
388.33	 3.17156e+09	 2718	 0.717626
388.24	 3.17183e+09	 2965	 0.71727
388.14	 3.17265e+09	 2403	 0.716775
388.07	 3.17338e+09	 2549	 0.717882
387.98	 3.17453e+09	 2624	 0.71751
387.9	 3.17321e+09	 2791	 0.717827
387.81	 3.17219e+09	 2418	 0.716844
387.71	 3.17349e+09	 11592	 0.707901
387.64	 3.17323e+09	 2808	 0.717091
387.55	 3.17402e+09	 2443	 0.717333
387.48	 3.17275e+09	 2193	 0.717327
387.38	 3.17225e+09	 2562	 0.716346
387.29	 3.17119e+09	 2265	 0.718488
387.22	 3.17306e+09	 3650	 0.716889
387.12	 3.17033e+09	 2296	 0.717932
387.05	 3.17113e+09	 2557	 0.717006
386.96	 3.17143e+09	 2440	 0.715583
386.87	 3.17024e+09	 2263	 0.716829
386.8	 3.17158e+09	 2930	 0.717029
386.7	 3.17214e+09	 2412	 0.718852
386.61	 3.17423e+09	 2675	 0.716583
386.54	 3.17349e+09	 2284	 0.713781
386.45	 3.17169e+09	 2361	 0.714462
386.38	 3.17234e+09	 2711	 0.716891
386.29	 3.1731e+09	 2408	 0.716594
386.19	 3.17292e+09	 2440	 0.71788
386.12	 3.17152e+09	 2621	 0.716184
386.03	 3.17257e+09	 2529	 0.715345
385.96	 3.17159e+09	 2335	 0.715961
385.87	 3.17354e+09	 2290	 0.716328
385.78	 3.1739e+09	 2162	 0.714631
385.71	 3.17292e+09	 2274	 0.716339
385.62	 3.17372e+09	 2213	 0.714934
385.55	 3.17287e+09	 2408	 0.717386
385.46	 3.17089e+09	 2398	 0.716353
385.37	 3.17236e+09	 2513	 0.715156
385.3	 3.1739e+09	 2200	 0.715758
385.21	 3.17246e+09	 2539	 0.71461
385.1	 3.17454e+09	 2162	 0.714582
385.03	 3.17454e+09	 2378	 0.71466
384.94	 3.17464e+09	 2414	 0.71365
384.87	 3.17502e+09	 3274	 0.714407
384.78	 3.17503e+09	 2292	 0.715205
384.69	 3.17512e+09	 2082	 0.714989
384.62	 3.1766e+09	 2172	 0.714898
384.54	 3.17346e+09	 2347	 0.714587
384.47	 3.17432e+09	 2512	 0.714865
384.38	 3.17375e+09	 2516	 0.716148
384.29	 3.17291e+09	 1937	 0.713698
384.22	 3.17098e+09	 2479	 0.71514
384.13	 3.17151e+09	 2441	 0.715644
384.07	 3.17174e+09	 2300	 0.715278
383.98	 3.173e+09	 2252	 0.714517
383.89	 3.17237e+09	 2304	 0.714072
383.82	 3.17116e+09	 2249	 0.714514
383.73	 3.17143e+09	 2178	 0.715368
383.67	 3.17311e+09	 2436	 0.71442
383.58	 3.17155e+09	 2238	 0.713645
383.49	 3.16999e+09	 2210	 0.713176
383.42	 3.17205e+09	 2164	 0.713734
383.34	 3.17261e+09	 2495	 0.713445
383.27	 3.1718e+09	 2913	 0.713471
383.18	 3.17154e+09	 2210	 0.716134
383.1	 3.17152e+09	 2303	 0.714059
383.03	 3.17067e+09	 2447	 0.714142
382.25	 3.17193e+09	 2344	 0.713946
382.17	 3.17883e+09	 2360	 0.712657
382.1	 3.17779e+09	 2412	 0.711769
382.02	 3.17604e+09	 2444	 0.711702
381.95	 3.17682e+09	 2500	 0.712293
381.87	 3.17667e+09	 2362	 0.714358
381.78	 3.17419e+09	 2424	 0.7123
381.72	 3.17481e+09	 2415	 0.712209
381.63	 3.17405e+09	 2421	 0.71113
381.57	 3.17537e+09	 2445	 0.7128
381.49	 3.17466e+09	 2210	 0.713324
381.4	 3.17473e+09	 2533	 0.714417
381.34	 3.17592e+09	 2369	 0.71244
381.25	 3.17447e+09	 2555	 0.713502
381.19	 3.175e+09	 2425	 0.711959
381.11	 3.17605e+09	 2341	 0.714135
381.02	 3.17377e+09	 2693	 0.712128
380.96	 3.17508e+09	 2377	 0.712558
380.87	 3.17408e+09	 2297	 0.712658
380.79	 3.17486e+09	 2493	 0.714205
380.73	 3.17433e+09	 2536	 0.712113
380.64	 3.17404e+09	 2854	 0.713071
380.58	 3.17508e+09	 2416	 0.713174
380.5	 3.17479e+09	 2700	 0.713418
380.4	 3.17637e+09	 2699	 0.712604
380.31	 3.17653e+09	 2770	 0.713098
380.25	 3.17951e+09	 2464	 0.712814
380.17	 3.17618e+09	 2925	 0.710039
380.11	 3.17628e+09	 2576	 0.71276
380.02	 3.17472e+09	 2358	 0.711814
379.94	 3.1743e+09	 2604	 0.711511
379.88	 3.17298e+09	 2376	 0.712215
379.8	 3.17265e+09	 2765	 0.712157
379.74	 3.17184e+09	 2427	 0.711238
379.66	 3.17316e+09	 2308	 0.712849
379.57	 3.17378e+09	 2459	 0.713445
379.51	 3.17553e+09	 2568	 0.713552
379.43	 3.17581e+09	 2387	 0.712157
379.37	 3.17492e+09	 2623	 0.713056
379.29	 3.17596e+09	 2732	 0.712659
379.21	 3.17362e+09	 2949	 0.713185
379.15	 3.17511e+09	 2626	 0.712363
379.07	 3.17257e+09	 2485	 0.713266
379.01	 3.17386e+09	 2554	 0.713016
378.92	 3.17161e+09	 2774	 0.709656
378.84	 3.1734e+09	 2447	 0.711598
378.78	 3.17273e+09	 2466	 0.712246
378.7	 3.17575e+09	 2576	 0.712459
378.65	 3.17251e+09	 2728	 0.712671
378.56	 3.17391e+09	 2875	 0.712061
378.48	 3.174e+09	 2522	 0.711447
378.42	 3.17309e+09	 2593	 0.710056
378.34	 3.17396e+09	 2848	 0.711469
378.28	 3.17357e+09	 2756	 0.712833
378.2	 3.17482e+09	 2924	 0.712691
378.13	 3.17487e+09	 2749	 0.712115
378.06	 3.17398e+09	 2535	 0.712078
377.99	 3.17363e+09	 2488	 0.711748
377.93	 3.17432e+09	 2643	 0.712202
377.85	 3.176e+09	 2362	 0.712332
377.77	 3.17519e+09	 2666	 0.710615
377.71	 3.17443e+09	 2668	 0.710054
377.63	 3.17339e+09	 2535	 0.713005
377.57	 3.17467e+09	 2950	 0.710467
377.49	 3.17616e+09	 2611	 0.712769
377.42	 3.17599e+09	 2715	 0.712032
377.36	 3.17538e+09	 2657	 0.709135
377.28	 3.17254e+09	 2513	 0.711564
377.2	 3.17127e+09	 2562	 0.710543
377.14	 3.17247e+09	 2571	 0.710971
377.07	 3.17157e+09	 2589	 0.712959
377.01	 3.17171e+09	 2667	 0.712628
376.93	 3.17221e+09	 2834	 0.711689
376.85	 3.17303e+09	 2793	 0.711785
376.8	 3.17317e+09	 2741	 0.710784
376.7	 3.17199e+09	 2722	 0.71096
376.62	 3.17617e+09	 2690	 0.712278
376.56	 3.17561e+09	 2382	 0.711554
376.49	 3.17554e+09	 2703	 0.710997
376.41	 3.17417e+09	 2737	 0.711439
376.35	 3.17466e+09	 2579	 0.709007
376.28	 3.17106e+09	 2334	 0.71188
376.22	 3.17119e+09	 2719	 0.710267
376.14	 3.17183e+09	 2691	 0.712607
376.07	 3.17079e+09	 2639	 0.710846
376.01	 3.17171e+09	 2777	 0.7107
375.93	 3.17064e+09	 2568	 0.711146
375.88	 3.17284e+09	 2686	 0.711558
375.8	 3.17174e+09	 2593	 0.710324
375.72	 3.17394e+09	 2749	 0.711057
375.67	 3.17439e+09	 2801	 0.710362
375.59	 3.17183e+09	 2470	 0.712436
375.54	 3.17007e+09	 2802	 0.711575
375.46	 3.17111e+09	 2598	 0.71188
375.39	 3.16964e+09	 2913	 0.711272
375.33	 3.16972e+09	 2549	 0.712605
375.25	 3.17104e+09	 2444	 0.713653
375.2	 3.17339e+09	 2779	 0.710134
