Temperature 	 Sum 	  Maxval 	 R 
401.45	 3.17436e+09	 13345	 0.735424
401.33	 3.17305e+09	 14026	 0.740289
401.24	 3.17534e+09	 16134	 0.72718
401.11	 3.17634e+09	 13963	 0.738127
401.02	 3.17824e+09	 14816	 0.737075
400.9	 3.1771e+09	 14757	 0.738447
400.78	 3.1773e+09	 16503	 0.730685
400.69	 3.17562e+09	 14950	 0.731039
400.56	 3.17652e+09	 15748	 0.721027
400.47	 3.17582e+09	 14557	 0.731646
400.35	 3.17742e+09	 14580	 0.732837
400.23	 3.17706e+09	 15182	 0.730735
400.13	 3.17749e+09	 15186	 0.723821
400.01	 3.17583e+09	 16733	 0.717707
399.92	 3.17549e+09	 16955	 0.721996
399.77	 3.17366e+09	 15634	 0.728964
399.65	 3.17643e+09	 15012	 0.731337
399.53	 3.17522e+09	 15824	 0.725076
399.44	 3.17427e+09	 14431	 0.730336
399.32	 3.17463e+09	 15321	 0.723483
399.23	 3.17331e+09	 15367	 0.728779
399.11	 3.17368e+09	 14582	 0.727051
398.99	 3.17187e+09	 16500	 0.720881
398.9	 3.17128e+09	 16393	 0.718056
398.78	 3.17036e+09	 17723	 0.715191
398.69	 3.17276e+09	 17303	 0.720354
398.57	 3.1725e+09	 16163	 0.723556
398.46	 3.17394e+09	 15102	 0.726062
398.37	 3.17433e+09	 16522	 0.714286
398.25	 3.17408e+09	 17228	 0.723377
398.16	 3.17302e+09	 15687	 0.724301
398.05	 3.17283e+09	 16766	 0.726031
397.93	 3.17204e+09	 14649	 0.732911
397.84	 3.17181e+09	 15383	 0.729475
397.72	 3.17032e+09	 16467	 0.724935
397.64	 3.17186e+09	 14827	 0.728024
397.52	 3.17268e+09	 17686	 0.721344
397.41	 3.17187e+09	 16727	 0.721082
397.32	 3.1729e+09	 15600	 0.725243
397.2	 3.17467e+09	 15624	 0.728207
397.08	 3.17453e+09	 15196	 0.729956
397	 3.17447e+09	 16123	 0.727955
396.88	 3.17509e+09	 17523	 0.7167
396.8	 3.17292e+09	 15825	 0.728375
396.68	 3.17404e+09	 15729	 0.723556
396.57	 3.17441e+09	 15963	 0.729471
396.48	 3.17534e+09	 16622	 0.725446
396.37	 3.17456e+09	 17718	 0.727874
396.28	 3.17192e+09	 15336	 0.724297
396.17	 3.17345e+09	 16426	 0.726097
396.06	 3.17268e+09	 15927	 0.723928
395.97	 3.17383e+09	 15181	 0.722716
395.86	 3.17563e+09	 16627	 0.728429
395.78	 3.17462e+09	 15955	 0.720922
395.66	 3.1718e+09	 14226	 0.730634
395.55	 3.17117e+09	 17760	 0.721326
395.46	 3.1685e+09	 17398	 0.722749
395.35	 3.17042e+09	 17149	 0.724904
395.27	 3.16968e+09	 14834	 0.731293
395.15	 3.16908e+09	 14899	 0.722521
395.04	 3.1704e+09	 16927	 0.730104
394.96	 3.17192e+09	 15067	 0.72551
394.85	 3.17304e+09	 15912	 0.717042
394.76	 3.1712e+09	 15887	 0.726864
394.65	 3.1734e+09	 16687	 0.727742
394.54	 3.17532e+09	 15210	 0.726691
394.41	 3.17455e+09	 15106	 0.724815
394.32	 3.1736e+09	 14159	 0.736279
394.21	 3.1735e+09	 15170	 0.727086
394.13	 3.17157e+09	 14773	 0.729589
394.02	 3.17371e+09	 14863	 0.722586
393.91	 3.17313e+09	 14038	 0.732308
393.83	 3.17215e+09	 15649	 0.722738
393.72	 3.17323e+09	 15194	 0.722262
393.64	 3.17148e+09	 15425	 0.724187
393.53	 3.17142e+09	 15570	 0.728194
393.42	 3.17082e+09	 14342	 0.726269
393.34	 3.17033e+09	 14180	 0.725943
393.23	 3.17022e+09	 14932	 0.726725
393.15	 3.1718e+09	 15679	 0.720525
393.05	 3.17239e+09	 15365	 0.727365
392.94	 3.17276e+09	 13281	 0.729041
392.86	 3.17296e+09	 14899	 0.725004
392.75	 3.17476e+09	 15911	 0.724223
392.67	 3.17492e+09	 16365	 0.724701
392.56	 3.17301e+09	 14317	 0.733114
392.46	 3.17274e+09	 14391	 0.726314
392.38	 3.17376e+09	 14788	 0.728511
392.27	 3.17242e+09	 15053	 0.720537
392.19	 3.17158e+09	 14247	 0.721014
392.09	 3.17266e+09	 14443	 0.732086
391.98	 3.17403e+09	 14323	 0.727467
391.9	 3.17833e+09	 15230	 0.725373
391.79	 3.17771e+09	 16040	 0.720924
391.69	 3.17676e+09	 14991	 0.71935
391.61	 3.17509e+09	 14473	 0.726748
391.5	 3.17513e+09	 14677	 0.720253
391.43	 3.17456e+09	 14520	 0.726865
391.32	 3.17437e+09	 13752	 0.727937
391.22	 3.17505e+09	 14897	 0.726032
391.14	 3.17594e+09	 14416	 0.725592
391.03	 3.17719e+09	 16791	 0.71353
390.96	 3.17389e+09	 14898	 0.724127
390.85	 3.17448e+09	 15095	 0.723361
390.75	 3.17327e+09	 14119	 0.725295
390.67	 3.17303e+09	 15415	 0.722019
390.57	 3.1741e+09	 15610	 0.716223
390.49	 3.17435e+09	 16068	 0.728278
390.39	 3.17531e+09	 13595	 0.722225
390.29	 3.17788e+09	 15847	 0.716357
390.21	 3.17413e+09	 15733	 0.719985
390.11	 3.1748e+09	 14712	 0.717661
390.03	 3.17276e+09	 16049	 0.717493
389.93	 3.17267e+09	 14938	 0.720774
389.83	 3.17171e+09	 15315	 0.717146
389.75	 3.17005e+09	 14114	 0.716006
389.65	 3.16987e+09	 14789	 0.726975
389.52	 3.17045e+09	 15595	 0.708296
389.45	 3.17044e+09	 16151	 0.714028
389.35	 3.17292e+09	 16039	 0.714245
389.27	 3.1723e+09	 16855	 0.711198
389.17	 3.17368e+09	 15896	 0.712318
389.07	 3.17236e+09	 13891	 0.723737
388.99	 3.17261e+09	 16055	 0.707599
388.9	 3.1722e+09	 16744	 0.712724
388.82	 3.17226e+09	 16240	 0.711474
388.72	 3.17044e+09	 16215	 0.719246
388.62	 3.17158e+09	 15752	 0.71438
387.93	 3.17174e+09	 16979	 0.707015
387.83	 3.16869e+09	 17336	 0.700725
387.73	 3.17083e+09	 18676	 0.700024
387.66	 3.17108e+09	 17249	 0.70022
387.56	 3.17086e+09	 17402	 0.703317
387.49	 3.17263e+09	 16154	 0.708411
387.39	 3.17234e+09	 16707	 0.697775
387.29	 3.1733e+09	 17527	 0.703794
387.22	 3.1733e+09	 16716	 0.70118
387.12	 3.17212e+09	 16367	 0.707034
387.05	 3.17174e+09	 17177	 0.705511
386.95	 3.17154e+09	 17020	 0.701758
386.86	 3.17111e+09	 16000	 0.705702
386.79	 3.1723e+09	 17531	 0.698783
386.69	 3.17225e+09	 16389	 0.70592
386.62	 3.17189e+09	 17711	 0.697588
386.52	 3.17101e+09	 17065	 0.70002
386.42	 3.17204e+09	 18087	 0.694295
386.36	 3.17281e+09	 17399	 0.700771
386.26	 3.17314e+09	 15885	 0.699143
386.19	 3.17439e+09	 18499	 0.687725
386.09	 3.17386e+09	 17933	 0.689845
386	 3.17034e+09	 18682	 0.689719
385.93	 3.17161e+09	 18905	 0.687345
385.83	 3.17147e+09	 17166	 0.696228
385.76	 3.1715e+09	 16777	 0.694557
385.67	 3.17198e+09	 17796	 0.686891
385.58	 3.17094e+09	 19758	 0.686477
385.5	 3.17323e+09	 17519	 0.687209
385.41	 3.17504e+09	 17821	 0.690452
385.34	 3.17289e+09	 17186	 0.689669
385.25	 3.17318e+09	 18387	 0.692432
385.15	 3.17116e+09	 17321	 0.694844
385.08	 3.1713e+09	 16619	 0.692205
384.99	 3.17123e+09	 18280	 0.683363
384.92	 3.17145e+09	 17756	 0.686519
384.83	 3.17098e+09	 16164	 0.69718
384.74	 3.17185e+09	 19518	 0.687097
384.67	 3.17113e+09	 17354	 0.687471
384.57	 3.17074e+09	 16813	 0.686587
384.46	 3.17222e+09	 17870	 0.684773
384.39	 3.17199e+09	 18104	 0.679569
384.3	 3.17131e+09	 18096	 0.678745
384.2	 3.17372e+09	 17787	 0.678033
384.14	 3.17287e+09	 17193	 0.689081
384.04	 3.17243e+09	 19335	 0.681136
383.98	 3.17335e+09	 17648	 0.679543
383.88	 3.17171e+09	 18955	 0.684447
383.8	 3.17195e+09	 18950	 0.678315
383.73	 3.17164e+09	 16310	 0.687431
383.63	 3.173e+09	 17956	 0.687463
383.57	 3.1731e+09	 16935	 0.684371
383.48	 3.17063e+09	 16683	 0.685627
383.38	 3.17111e+09	 17128	 0.678379
383.32	 3.17265e+09	 17185	 0.682872
383.23	 3.17371e+09	 17905	 0.678472
383.16	 3.17305e+09	 17410	 0.673942
383.07	 3.1727e+09	 16789	 0.679331
382.98	 3.17089e+09	 17916	 0.679387
382.91	 3.17257e+09	 17456	 0.66943
382.82	 3.17181e+09	 18134	 0.674675
382.76	 3.17208e+09	 17563	 0.67763
382.67	 3.17154e+09	 17557	 0.670817
382.58	 3.17143e+09	 16814	 0.676481
382.51	 3.17129e+09	 18026	 0.672143
382.42	 3.17333e+09	 17224	 0.67213
382.36	 3.17371e+09	 18371	 0.676863
382.27	 3.17124e+09	 18675	 0.666028
382.18	 3.17036e+09	 18353	 0.669724
382.11	 3.1691e+09	 17648	 0.670328
382.03	 3.17156e+09	 17488	 0.6721
381.94	 3.17211e+09	 15914	 0.672143
381.87	 3.17306e+09	 16443	 0.670758
381.78	 3.17319e+09	 18307	 0.664443
381.72	 3.17253e+09	 18521	 0.663694
381.63	 3.17234e+09	 18901	 0.661214
381.54	 3.17381e+09	 17389	 0.662966
381.48	 3.17392e+09	 17600	 0.661589
381.39	 3.17401e+09	 16704	 0.669752
381.33	 3.17384e+09	 17568	 0.660634
381.24	 3.17314e+09	 17089	 0.665223
381.15	 3.17325e+09	 17122	 0.667615
381.09	 3.17443e+09	 18250	 0.659648
381	 3.17378e+09	 18107	 0.664641
380.94	 3.17416e+09	 17875	 0.656965
380.85	 3.17175e+09	 18713	 0.659183
380.76	 3.17137e+09	 18032	 0.653783
380.7	 3.1714e+09	 18324	 0.653676
380.62	 3.16971e+09	 18568	 0.65599
380.55	 3.16792e+09	 17905	 0.668246
380.47	 3.17e+09	 17478	 0.667572
380.36	 3.17015e+09	 15430	 0.664009
380.28	 3.17165e+09	 18299	 0.653476
380.21	 3.17076e+09	 18194	 0.646233
380.13	 3.16962e+09	 16647	 0.658247
380.06	 3.17166e+09	 17224	 0.656998
379.98	 3.17021e+09	 15689	 0.662212
379.89	 3.1712e+09	 17687	 0.652531
379.83	 3.16961e+09	 16927	 0.64808
379.75	 3.16826e+09	 17778	 0.653412
379.68	 3.16851e+09	 16755	 0.656978
379.6	 3.16736e+09	 17696	 0.653363
379.52	 3.16654e+09	 16596	 0.649697
379.45	 3.16948e+09	 18353	 0.652843
379.37	 3.16963e+09	 17452	 0.648583
379.31	 3.169e+09	 16747	 0.649964
379.22	 3.16988e+09	 18353	 0.646074
379.14	 3.16955e+09	 17216	 0.655598
379.08	 3.1693e+09	 17948	 0.646013
378.99	 3.16893e+09	 17117	 0.652746
378.93	 3.16825e+09	 16787	 0.648095
378.85	 3.16872e+09	 18106	 0.637684
378.77	 3.16827e+09	 16361	 0.646906
378.7	 3.16954e+09	 19628	 0.637239
378.62	 3.17009e+09	 16669	 0.650419
378.54	 3.1705e+09	 16403	 0.646471
378.48	 3.1701e+09	 18775	 0.64032
378.39	 3.17235e+09	 17862	 0.64406
378.33	 3.17309e+09	 17576	 0.639421
378.25	 3.17027e+09	 16979	 0.641305
378.17	 3.17122e+09	 17728	 0.632102
378.11	 3.17088e+09	 16395	 0.642361
378.03	 3.17238e+09	 17544	 0.636131
377.97	 3.1707e+09	 18355	 0.631299
377.89	 3.17109e+09	 16667	 0.640033
377.8	 3.17256e+09	 18017	 0.629574
377.74	 3.1744e+09	 17861	 0.637466
377.66	 3.17473e+09	 18178	 0.628275
377.6	 3.17274e+09	 18463	 0.636623
377.52	 3.17012e+09	 19064	 0.626
377.44	 3.17075e+09	 17860	 0.636628
377.38	 3.17316e+09	 19068	 0.631598
377.3	 3.17282e+09	 16745	 0.638854
377.24	 3.17157e+09	 17698	 0.626953
377.16	 3.17159e+09	 17990	 0.629549
377.08	 3.17336e+09	 17730	 0.632537
377.02	 3.17192e+09	 18111	 0.628976
376.94	 3.17138e+09	 19255	 0.624156
376.88	 3.17362e+09	 19353	 0.621432
376.8	 3.17322e+09	 20063	 0.621321
376.72	 3.17372e+09	 17703	 0.632463
376.66	 3.17323e+09	 20141	 0.622358
376.57	 3.17447e+09	 19202	 0.624489
376.49	 3.17457e+09	 18232	 0.623349
376.41	 3.17349e+09	 18839	 0.61935
376.35	 3.17269e+09	 17861	 0.628395
376.27	 3.17266e+09	 19901	 0.617159
376.21	 3.17452e+09	 19343	 0.625731
376.13	 3.17193e+09	 19366	 0.618232
376.05	 3.17543e+09	 19086	 0.61855
375.99	 3.17446e+09	 17649	 0.625247
375.92	 3.17268e+09	 18762	 0.621727
375.86	 3.17384e+09	 18769	 0.626254
375.78	 3.17344e+09	 18819	 0.617968
375.7	 3.17253e+09	 18926	 0.624131
375.64	 3.17279e+09	 20002	 0.614245
375.57	 3.17375e+09	 19019	 0.619573
375.51	 3.17423e+09	 19481	 0.615382
374.89	 3.1752e+09	 19991	 0.616101
374.83	 3.17506e+09	 19964	 0.613209
374.76	 3.17651e+09	 20089	 0.605696
374.7	 3.17687e+09	 21161	 0.606318
374.62	 3.17654e+09	 20880	 0.60064
374.55	 3.17671e+09	 18691	 0.603024
374.49	 3.17457e+09	 19182	 0.606508
374.42	 3.17362e+09	 19822	 0.606443
374.36	 3.17577e+09	 21434	 0.596263
374.28	 3.17565e+09	 21830	 0.598953
374.21	 3.17511e+09	 22203	 0.597945
374.15	 3.17373e+09	 20821	 0.599865
374.08	 3.17226e+09	 20240	 0.599106
374.02	 3.17215e+09	 22569	 0.599812
373.95	 3.17261e+09	 22354	 0.597598
373.87	 3.17136e+09	 21237	 0.607426
373.81	 3.17208e+09	 21621	 0.599323
373.74	 3.17137e+09	 22057	 0.59539
373.68	 3.17232e+09	 21591	 0.596003
373.61	 3.17199e+09	 22814	 0.591909
373.53	 3.17045e+09	 23218	 0.590297
373.48	 3.17135e+09	 24421	 0.588279
373.4	 3.17309e+09	 21984	 0.587233
373.35	 3.17324e+09	 22163	 0.601185
373.27	 3.17281e+09	 22166	 0.589476
373.2	 3.17531e+09	 22434	 0.58665
373.15	 3.175e+09	 22706	 0.589228
373.07	 3.17484e+09	 23605	 0.583462
373	 3.17658e+09	 24243	 0.582627
372.94	 3.17377e+09	 23126	 0.589171
372.87	 3.17339e+09	 25058	 0.582389
372.81	 3.17593e+09	 23103	 0.587806
372.74	 3.17509e+09	 22988	 0.587546
372.67	 3.175e+09	 22681	 0.590997
372.61	 3.17271e+09	 22733	 0.585444
372.52	 3.17622e+09	 25276	 0.569062
372.45	 3.17484e+09	 24410	 0.576361
372.4	 3.17395e+09	 21455	 0.593048
372.32	 3.1766e+09	 25333	 0.581827
372.25	 3.1729e+09	 24172	 0.567418
372.2	 3.17449e+09	 24231	 0.570659
372.12	 3.17444e+09	 24556	 0.576042
372.07	 3.17276e+09	 24939	 0.58428
372	 3.1732e+09	 25767	 0.568216
371.93	 3.17114e+09	 25977	 0.569101
371.87	 3.17057e+09	 24777	 0.575529
371.8	 3.17001e+09	 25335	 0.570769
371.75	 3.1694e+09	 25434	 0.565038
371.68	 3.16997e+09	 24864	 0.564726
371.61	 3.16946e+09	 27364	 0.570137
371.55	 3.1686e+09	 27462	 0.560474
371.48	 3.1694e+09	 24496	 0.564883
371.41	 3.17109e+09	 25753	 0.563117
371.36	 3.17012e+09	 26907	 0.547225
371.29	 3.17002e+09	 26536	 0.561543
371.23	 3.17208e+09	 26564	 0.561656
371.16	 3.17208e+09	 26206	 0.567249
371.11	 3.17224e+09	 27185	 0.559935
371.04	 3.16997e+09	 26826	 0.556206
370.97	 3.17009e+09	 27702	 0.549622
