-0.000048	0.006863	1.824500e-15
-0.000000	0.006863	2.022100e-12
0.000048	0.006863	1.158200e-13
-0.000240	0.013753	1.632500e-17
-0.000144	0.013754	1.831000e-15
-0.000048	0.013755	1.198300e-14
0.000048	0.013755	8.076100e-13
0.000144	0.013754	3.634800e-14
0.000240	0.013753	5.710800e-15
-0.000540	0.020623	9.699700e-17
-0.000396	0.020626	4.155700e-16
-0.000252	0.020628	1.202600e-15
-0.000108	0.020630	4.940300e-15
0.000036	0.020630	1.287500e-12
0.000180	0.020629	9.110200e-14
0.000324	0.020627	8.658900e-15
0.000468	0.020625	1.881000e-15
-0.000960	0.027487	4.561300e-17
-0.000768	0.027493	1.458800e-16
-0.000576	0.027497	3.095900e-16
-0.000384	0.027501	6.834400e-16
-0.000192	0.027503	2.148000e-15
0.000000	0.027503	2.886800e-12
0.000192	0.027503	2.179700e-13
0.000384	0.027501	7.880600e-15
0.000576	0.027497	1.106600e-15
0.000768	0.027493	1.138700e-16
0.000960	0.027487	2.123900e-17
-0.001500	0.034343	2.767100e-17
-0.001260	0.034353	7.776500e-17
-0.001020	0.034361	1.267600e-16
-0.000780	0.034367	2.225400e-16
-0.000540	0.034372	4.119500e-16
-0.000300	0.034375	1.049200e-15
-0.000060	0.034376	1.304600e-14
0.000180	0.034376	4.663100e-13
0.000420	0.034374	6.005400e-15
0.000660	0.034370	3.540400e-16
0.000900	0.034364	1.012700e-16
0.001139	0.034357	4.558100e-17
0.001379	0.034348	1.543700e-17
-0.002159	0.041187	1.789800e-17
-0.001871	0.041201	3.764700e-17
-0.001583	0.041213	6.724000e-17
-0.001296	0.041223	1.031300e-16
-0.001008	0.041231	1.690200e-16
-0.000720	0.041237	2.803100e-16
-0.000432	0.041241	5.619900e-16
-0.000144	0.041243	2.684600e-15
0.000144	0.041243	7.828100e-13
0.000432	0.041241	2.356000e-15
0.000720	0.041237	2.354100e-16
0.001008	0.041231	1.037200e-16
0.001295	0.041223	4.755100e-17
0.001583	0.041213	2.636700e-17
0.001871	0.041201	1.890400e-17
0.002158	0.041187	5.479300e-18
-0.002937	0.048021	1.391900e-17
-0.002602	0.048040	2.265300e-17
-0.002267	0.048057	4.581400e-17
-0.001931	0.048072	6.557200e-17
-0.001595	0.048084	8.664600e-17
-0.001260	0.048094	1.299300e-16
-0.000924	0.048102	2.020000e-16
-0.000588	0.048107	3.458700e-16
-0.000252	0.048110	1.018100e-15
0.000084	0.048110	9.970100e-13
0.000419	0.048109	1.203900e-15
0.000755	0.048105	2.076900e-16
0.001091	0.048098	9.485800e-17
0.001427	0.048089	5.037400e-17
0.001763	0.048078	2.901200e-17
0.002098	0.048065	1.687400e-17
0.002434	0.048049	1.747600e-17
0.002769	0.048031	6.391700e-18
-0.003835	0.054837	1.063700e-17
-0.003452	0.054863	1.567700e-17
-0.003069	0.054885	2.464500e-17
-0.002686	0.054905	4.357800e-17
-0.002302	0.054923	5.342500e-17
-0.001919	0.054938	8.350000e-17
-0.001535	0.054950	1.079700e-16
-0.001152	0.054959	1.591600e-16
-0.000768	0.054966	2.254100e-16
-0.000384	0.054970	4.911100e-16
-0.000000	0.054971	1.600100e-12
0.000383	0.054970	1.410100e-15
0.000767	0.054966	1.792700e-16
0.001151	0.054959	8.474100e-17
0.001535	0.054950	4.890300e-17
0.001918	0.054938	3.103900e-17
0.002302	0.054923	2.767000e-17
0.002685	0.054905	1.337800e-17
0.003068	0.054885	9.043000e-18
0.003451	0.054863	6.376800e-18
0.003834	0.054837	1.303400e-17
-0.004851	0.061638	8.953600e-18
-0.004421	0.061671	1.159600e-17
-0.003990	0.061700	1.681300e-17
-0.003559	0.061726	2.336000e-17
-0.003128	0.061750	4.049300e-17
-0.002697	0.061770	4.657300e-17
-0.002266	0.061787	7.133900e-17
-0.001835	0.061802	8.533500e-17
-0.001403	0.061813	1.107400e-16
-0.000972	0.061821	1.550800e-16
-0.000540	0.061826	2.501600e-16
-0.000108	0.061829	3.087500e-15
0.000323	0.061828	2.320100e-15
0.000755	0.061824	1.643000e-16
0.001187	0.061817	7.326300e-17
0.001618	0.061808	4.998600e-17
0.002050	0.061795	2.942800e-17
0.002481	0.061779	2.060000e-17
0.002912	0.061760	1.484900e-17
0.003343	0.061738	1.866200e-17
0.003774	0.061714	8.046900e-18
0.004205	0.061686	6.269400e-18
0.004635	0.061655	5.237100e-18
-0.005986	0.068418	7.107400e-18
-0.005508	0.068459	8.667700e-18
-0.005030	0.068495	1.194400e-17
-0.004552	0.068529	1.616800e-17
-0.004073	0.068559	2.191300e-17
-0.003595	0.068586	3.699600e-17
-0.003116	0.068609	3.857700e-17
-0.002637	0.068629	4.973400e-17
-0.002158	0.068646	6.850200e-17
-0.001678	0.068659	7.544200e-17
-0.001199	0.068669	9.610700e-17
-0.000719	0.068676	1.489000e-16
-0.000240	0.068679	5.120100e-16
0.000239	0.068679	1.408400e-14
0.000719	0.068676	1.420500e-16
0.001198	0.068669	6.151400e-17
0.001678	0.068659	3.755200e-17
0.002157	0.068646	3.271300e-17
0.002636	0.068629	1.870900e-17
0.003115	0.068609	1.444600e-17
0.003594	0.068586	1.118300e-17
0.004073	0.068559	8.936400e-18
0.004551	0.068529	7.077600e-18
0.005030	0.068495	5.943500e-18
0.005508	0.068459	1.322000e-17
0.005986	0.068419	4.912100e-18
-0.007239	0.075180	6.290400e-18
-0.006714	0.075229	6.776900e-18
-0.006189	0.075274	9.272000e-18
-0.005663	0.075315	1.196600e-17
-0.005137	0.075353	1.561000e-17
-0.004611	0.075387	1.999200e-17
